MiB Mem :  16009.2 total,  10910.0 free,   1823.9 used,   3275.3 buff/cache
MiB Mem :  16009.2 total,  10910.0 free,   1823.9 used,   3275.3 buff/cache
MiB Mem :  16009.2 total,  10910.0 free,   1823.9 used,   3275.3 buff/cache
MiB Mem :  16009.2 total,  10910.0 free,   1823.9 used,   3275.3 buff/cache
MiB Mem :  16009.2 total,  10910.0 free,   1823.9 used,   3275.3 buff/cache
MiB Mem :  16009.2 total,  10910.0 free,   1823.9 used,   3275.3 buff/cache
MiB Mem :  16009.2 total,  10917.5 free,   1816.2 used,   3275.5 buff/cache
MiB Mem :  16009.2 total,  10917.5 free,   1816.2 used,   3275.5 buff/cache
MiB Mem :  16009.2 total,  10917.5 free,   1816.2 used,   3275.5 buff/cache
MiB Mem :  16009.2 total,  10917.5 free,   1816.2 used,   3275.5 buff/cache
MiB Mem :  16009.2 total,  10917.5 free,   1816.2 used,   3275.5 buff/cache
MiB Mem :  16009.2 total,  10917.5 free,   1816.2 used,   3275.5 buff/cache
MiB Mem :  16009.2 total,  10914.2 free,   1819.3 used,   3275.7 buff/cache
MiB Mem :  16009.2 total,  10914.2 free,   1819.3 used,   3275.7 buff/cache
MiB Mem :  16009.2 total,  10914.2 free,   1819.3 used,   3275.7 buff/cache
MiB Mem :  16009.2 total,  10914.2 free,   1819.3 used,   3275.7 buff/cache
MiB Mem :  16009.2 total,  10914.2 free,   1819.3 used,   3275.7 buff/cache
MiB Mem :  16009.2 total,  10914.2 free,   1819.3 used,   3275.7 buff/cache
MiB Mem :  16009.2 total,  10911.9 free,   1821.5 used,   3275.8 buff/cache
MiB Mem :  16009.2 total,  10911.9 free,   1821.5 used,   3275.8 buff/cache
MiB Mem :  16009.2 total,  10911.9 free,   1821.5 used,   3275.8 buff/cache
MiB Mem :  16009.2 total,  10911.9 free,   1821.5 used,   3275.8 buff/cache
MiB Mem :  16009.2 total,  10911.9 free,   1821.5 used,   3275.8 buff/cache
MiB Mem :  16009.2 total,  10911.9 free,   1821.5 used,   3275.8 buff/cache
MiB Mem :  16009.2 total,  10909.1 free,   1824.1 used,   3276.0 buff/cache
MiB Mem :  16009.2 total,  10909.1 free,   1824.1 used,   3276.0 buff/cache
MiB Mem :  16009.2 total,  10909.1 free,   1824.1 used,   3276.0 buff/cache
MiB Mem :  16009.2 total,  10909.1 free,   1824.1 used,   3276.0 buff/cache
MiB Mem :  16009.2 total,  10909.1 free,   1824.1 used,   3276.0 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.9 used,   3276.2 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.9 used,   3276.2 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.9 used,   3276.2 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.9 used,   3276.2 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.9 used,   3276.2 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.9 used,   3276.2 buff/cache
MiB Mem :  16009.2 total,  10907.0 free,   1825.9 used,   3276.3 buff/cache
MiB Mem :  16009.2 total,  10907.0 free,   1825.9 used,   3276.3 buff/cache
MiB Mem :  16009.2 total,  10907.0 free,   1825.9 used,   3276.3 buff/cache
MiB Mem :  16009.2 total,  10907.0 free,   1825.9 used,   3276.3 buff/cache
MiB Mem :  16009.2 total,  10907.0 free,   1825.9 used,   3276.3 buff/cache
MiB Mem :  16009.2 total,  10907.0 free,   1825.9 used,   3276.3 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.7 used,   3276.5 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.7 used,   3276.5 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.7 used,   3276.5 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.7 used,   3276.5 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.7 used,   3276.5 buff/cache
MiB Mem :  16009.2 total,  10906.1 free,   1826.7 used,   3276.5 buff/cache
MiB Mem :  16009.2 total,  10903.5 free,   1829.1 used,   3276.6 buff/cache
MiB Mem :  16009.2 total,  10903.5 free,   1829.1 used,   3276.6 buff/cache
MiB Mem :  16009.2 total,  10903.5 free,   1829.1 used,   3276.6 buff/cache
MiB Mem :  16009.2 total,  10903.5 free,   1829.1 used,   3276.6 buff/cache
MiB Mem :  16009.2 total,  10903.5 free,   1829.1 used,   3276.6 buff/cache
MiB Mem :  16009.2 total,  10905.3 free,   1827.1 used,   3276.8 buff/cache
MiB Mem :  16009.2 total,  10905.3 free,   1827.1 used,   3276.8 buff/cache
MiB Mem :  16009.2 total,  10905.3 free,   1827.1 used,   3276.8 buff/cache
MiB Mem :  16009.2 total,  10905.3 free,   1827.1 used,   3276.8 buff/cache
MiB Mem :  16009.2 total,  10905.3 free,   1827.1 used,   3276.8 buff/cache
MiB Mem :  16009.2 total,  10905.3 free,   1827.1 used,   3276.8 buff/cache
MiB Mem :  16009.2 total,  10905.4 free,   1826.9 used,   3277.0 buff/cache
MiB Mem :  16009.2 total,  10905.4 free,   1826.9 used,   3277.0 buff/cache
MiB Mem :  16009.2 total,  10905.4 free,   1826.9 used,   3277.0 buff/cache
MiB Mem :  16009.2 total,  10905.4 free,   1826.9 used,   3277.0 buff/cache
