MiB Mem :  16009.2 total,  11770.6 free,    999.3 used,   3239.4 buff/cache
MiB Mem :  16009.2 total,  11770.6 free,    999.3 used,   3239.4 buff/cache
MiB Mem :  16009.2 total,  11770.6 free,    999.3 used,   3239.4 buff/cache
MiB Mem :  16009.2 total,  11770.6 free,    999.3 used,   3239.4 buff/cache
MiB Mem :  16009.2 total,  11770.6 free,    999.3 used,   3239.4 buff/cache
MiB Mem :  16009.2 total,  11770.6 free,    999.3 used,   3239.4 buff/cache
MiB Mem :  16009.2 total,  11769.2 free,   1000.6 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11769.2 free,   1000.6 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11769.2 free,   1000.6 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11769.2 free,   1000.6 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11769.2 free,   1000.6 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11769.2 free,   1000.6 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1001.1 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1001.1 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1001.1 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1001.1 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1001.1 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1001.1 used,   3239.5 buff/cache
MiB Mem :  16009.2 total,  11769.5 free,   1000.1 used,   3239.6 buff/cache
MiB Mem :  16009.2 total,  11769.5 free,   1000.1 used,   3239.6 buff/cache
MiB Mem :  16009.2 total,  11769.5 free,   1000.1 used,   3239.6 buff/cache
MiB Mem :  16009.2 total,  11769.5 free,   1000.1 used,   3239.6 buff/cache
MiB Mem :  16009.2 total,  11769.5 free,   1000.1 used,   3239.6 buff/cache
MiB Mem :  16009.2 total,  11769.5 free,   1000.1 used,   3239.6 buff/cache
MiB Mem :  16009.2 total,  11769.1 free,   1000.4 used,   3239.7 buff/cache
MiB Mem :  16009.2 total,  11769.1 free,   1000.4 used,   3239.7 buff/cache
MiB Mem :  16009.2 total,  11769.1 free,   1000.4 used,   3239.7 buff/cache
MiB Mem :  16009.2 total,  11769.1 free,   1000.4 used,   3239.7 buff/cache
MiB Mem :  16009.2 total,  11769.1 free,   1000.4 used,   3239.7 buff/cache
MiB Mem :  16009.2 total,  11769.1 free,   1000.4 used,   3239.7 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.5 used,   3239.8 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.5 used,   3239.8 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.5 used,   3239.8 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.5 used,   3239.8 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.5 used,   3239.8 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.8 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.8 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.8 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.8 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.8 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.8 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.3 free,   1001.0 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.3 free,   1001.0 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.3 free,   1001.0 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.3 free,   1001.0 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.3 free,   1001.0 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.3 free,   1001.0 used,   3239.9 buff/cache
MiB Mem :  16009.2 total,  11768.2 free,   1001.0 used,   3240.0 buff/cache
MiB Mem :  16009.2 total,  11768.2 free,   1001.0 used,   3240.0 buff/cache
MiB Mem :  16009.2 total,  11768.2 free,   1001.0 used,   3240.0 buff/cache
MiB Mem :  16009.2 total,  11768.2 free,   1001.0 used,   3240.0 buff/cache
MiB Mem :  16009.2 total,  11768.2 free,   1001.0 used,   3240.0 buff/cache
MiB Mem :  16009.2 total,  11768.2 free,   1001.0 used,   3240.0 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.5 used,   3240.1 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.5 used,   3240.1 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.5 used,   3240.1 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.5 used,   3240.1 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.5 used,   3240.1 buff/cache
MiB Mem :  16009.2 total,  11768.6 free,   1000.5 used,   3240.1 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.1 used,   3240.2 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.1 used,   3240.2 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.1 used,   3240.2 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.1 used,   3240.2 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1000.1 used,   3240.2 buff/cache
