MiB Mem :  16009.2 total,  11971.6 free,    873.6 used,   3164.1 buff/cache
MiB Mem :  16009.2 total,  11971.6 free,    873.6 used,   3164.1 buff/cache
MiB Mem :  16009.2 total,  11971.6 free,    873.6 used,   3164.1 buff/cache
MiB Mem :  16009.2 total,  11971.6 free,    873.6 used,   3164.1 buff/cache
MiB Mem :  16009.2 total,  11971.6 free,    873.6 used,   3164.1 buff/cache
MiB Mem :  16009.2 total,  11971.6 free,    873.6 used,   3164.1 buff/cache
MiB Mem :  16009.2 total,  11970.0 free,    875.1 used,   3164.2 buff/cache
MiB Mem :  16009.2 total,  11970.0 free,    875.1 used,   3164.2 buff/cache
MiB Mem :  16009.2 total,  11970.0 free,    875.1 used,   3164.2 buff/cache
MiB Mem :  16009.2 total,  11970.0 free,    875.1 used,   3164.2 buff/cache
MiB Mem :  16009.2 total,  11970.0 free,    875.1 used,   3164.2 buff/cache
MiB Mem :  16009.2 total,  11970.0 free,    875.1 used,   3164.2 buff/cache
MiB Mem :  16009.2 total,  11970.1 free,    874.8 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11970.1 free,    874.8 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11970.1 free,    874.8 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11970.1 free,    874.8 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11970.1 free,    874.8 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11971.4 free,    873.5 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11971.4 free,    873.5 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11971.4 free,    873.5 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11971.4 free,    873.5 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11971.4 free,    873.5 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11971.4 free,    873.5 used,   3164.3 buff/cache
MiB Mem :  16009.2 total,  11970.7 free,    874.2 used,   3164.4 buff/cache
MiB Mem :  16009.2 total,  11970.7 free,    874.2 used,   3164.4 buff/cache
MiB Mem :  16009.2 total,  11970.7 free,    874.2 used,   3164.4 buff/cache
MiB Mem :  16009.2 total,  11970.7 free,    874.2 used,   3164.4 buff/cache
MiB Mem :  16009.2 total,  11970.7 free,    874.2 used,   3164.4 buff/cache
MiB Mem :  16009.2 total,  11970.7 free,    874.2 used,   3164.4 buff/cache
MiB Mem :  16009.2 total,  11970.3 free,    874.5 used,   3164.5 buff/cache
MiB Mem :  16009.2 total,  11970.3 free,    874.5 used,   3164.5 buff/cache
MiB Mem :  16009.2 total,  11970.3 free,    874.5 used,   3164.5 buff/cache
MiB Mem :  16009.2 total,  11970.3 free,    874.5 used,   3164.5 buff/cache
MiB Mem :  16009.2 total,  11970.3 free,    874.5 used,   3164.5 buff/cache
MiB Mem :  16009.2 total,  11970.3 free,    874.5 used,   3164.5 buff/cache
MiB Mem :  16009.2 total,  11969.8 free,    874.9 used,   3164.6 buff/cache
MiB Mem :  16009.2 total,  11969.8 free,    874.9 used,   3164.6 buff/cache
MiB Mem :  16009.2 total,  11969.8 free,    874.9 used,   3164.6 buff/cache
MiB Mem :  16009.2 total,  11969.8 free,    874.9 used,   3164.6 buff/cache
MiB Mem :  16009.2 total,  11969.8 free,    874.9 used,   3164.6 buff/cache
MiB Mem :  16009.2 total,  11969.8 free,    874.9 used,   3164.6 buff/cache
MiB Mem :  16009.2 total,  11970.2 free,    874.4 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11970.2 free,    874.4 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11970.2 free,    874.4 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11970.2 free,    874.4 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11970.2 free,    874.4 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11970.2 free,    874.4 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11968.7 free,    875.8 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11968.7 free,    875.8 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11968.7 free,    875.8 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11968.7 free,    875.8 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11968.7 free,    875.8 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11968.7 free,    875.8 used,   3164.7 buff/cache
MiB Mem :  16009.2 total,  11969.7 free,    874.6 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11969.7 free,    874.6 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11969.7 free,    874.6 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11969.7 free,    874.6 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11969.7 free,    874.6 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11969.7 free,    874.6 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    872.3 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    872.3 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    872.3 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    872.3 used,   3165.0 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    872.3 used,   3165.0 buff/cache
