top - 18:41:37 up 21:27,  0 users,  load average: 0.18, 0.11, 0.72
Tasks: 168 total,   1 running, 167 sleeping,   0 stopped,   0 zombie
%Cpu(s): 44.6 us,  7.7 sy,  0.0 ni, 40.0 id,  0.0 wa,  0.0 hi,  7.7 si,  0.0 st
MiB Mem :  16009.2 total,  11770.6 free,    999.3 used,   3239.4 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14811.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 331464 root      20   0    2840   2088   1840 S   0.0   0.0   0:01.10 dnsmasq
 331499 chronos+  20   0  729652  27964  16620 S   0.0   0.2   0:11.42 sidecar
 331515 chronos+  20   0  729396  28448  16428 S   0.0   0.2   0:11.24 sidecar
 331588 nobody    20   0  745656  51012  32828 S   0.0   0.3   0:29.09 metrics+
 331601 chronos+  20   0  733976  27404  20028 S   0.0   0.2   0:02.12 monitor
 331628 chronos+  20   0  734232  27060  19836 S   0.0   0.2   0:02.20 monitor
 407243 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
 413036 root      20   0  713944  12960   7512 S   0.0   0.1   0:01.46 contain+
 413057 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
 413089 root      20   0    2272   1780   1516 S   0.0   0.0   0:00.06 manage-+
 413117 root      20   0  713944  12724   6988 S   0.0   0.1   0:01.42 contain+
 413138 65535     20   0     972      4      0 S   0.0   0.0   0:00.27 pause
 413160 root      20   0  713688  13220   8368 S   0.0   0.1   0:01.55 contain+
 413180 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
 413256 root      20   0  759076  52424  39264 S   0.0   0.3   0:01.64 cilium-+
 413463 root      20   0  785080 121400  54780 S   0.0   0.7   0:23.78 cilium-+
 414184 root      20   0  706700   3452   2820 S   0.0   0.0   0:00.03 cilium-+
 414734 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
 414753 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
 417578 root      20   0  714008  12728   7572 S   0.0   0.1   0:02.60 contain+
 417598 65535     20   0     972      4      0 S   0.0   0.0   0:00.25 pause
 417885 1337      20   0  750448  53988  33684 S   0.0   0.3   0:03.50 pilot-a+
 418660 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
 421132 root      20   0       0      0      0 I   0.0   0.0   0:00.19 kworker+
 422741 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 423168 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 424356 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
 424844 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 426388 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 427608 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
