MiB Mem :  16009.2 total,  10193.9 free,   2491.7 used,   3323.5 buff/cache
MiB Mem :  16009.2 total,  10193.9 free,   2491.7 used,   3323.5 buff/cache
MiB Mem :  16009.2 total,  10193.9 free,   2491.7 used,   3323.5 buff/cache
MiB Mem :  16009.2 total,  10193.9 free,   2491.7 used,   3323.5 buff/cache
MiB Mem :  16009.2 total,  10193.9 free,   2491.7 used,   3323.5 buff/cache
MiB Mem :  16009.2 total,  10172.1 free,   2513.5 used,   3323.6 buff/cache
MiB Mem :  16009.2 total,  10172.1 free,   2513.5 used,   3323.6 buff/cache
MiB Mem :  16009.2 total,  10172.1 free,   2513.5 used,   3323.6 buff/cache
MiB Mem :  16009.2 total,  10172.1 free,   2513.5 used,   3323.6 buff/cache
MiB Mem :  16009.2 total,  10172.1 free,   2513.5 used,   3323.6 buff/cache
MiB Mem :  16009.2 total,  10172.1 free,   2513.5 used,   3323.6 buff/cache
MiB Mem :  16009.2 total,  10177.7 free,   2507.8 used,   3323.8 buff/cache
MiB Mem :  16009.2 total,  10177.7 free,   2507.8 used,   3323.8 buff/cache
MiB Mem :  16009.2 total,  10177.7 free,   2507.8 used,   3323.8 buff/cache
MiB Mem :  16009.2 total,  10177.7 free,   2507.8 used,   3323.8 buff/cache
MiB Mem :  16009.2 total,  10177.7 free,   2507.8 used,   3323.8 buff/cache
MiB Mem :  16009.2 total,  10177.7 free,   2507.8 used,   3323.8 buff/cache
MiB Mem :  16009.2 total,  10177.9 free,   2507.4 used,   3323.9 buff/cache
MiB Mem :  16009.2 total,  10177.9 free,   2507.4 used,   3323.9 buff/cache
MiB Mem :  16009.2 total,  10177.9 free,   2507.4 used,   3323.9 buff/cache
MiB Mem :  16009.2 total,  10177.9 free,   2507.4 used,   3323.9 buff/cache
MiB Mem :  16009.2 total,  10177.9 free,   2507.4 used,   3323.9 buff/cache
MiB Mem :  16009.2 total,  10168.3 free,   2516.9 used,   3324.1 buff/cache
MiB Mem :  16009.2 total,  10168.3 free,   2516.9 used,   3324.1 buff/cache
MiB Mem :  16009.2 total,  10168.3 free,   2516.9 used,   3324.1 buff/cache
MiB Mem :  16009.2 total,  10168.3 free,   2516.9 used,   3324.1 buff/cache
MiB Mem :  16009.2 total,  10168.3 free,   2516.9 used,   3324.1 buff/cache
MiB Mem :  16009.2 total,  10168.3 free,   2516.9 used,   3324.1 buff/cache
MiB Mem :  16009.2 total,  10173.7 free,   2511.3 used,   3324.2 buff/cache
MiB Mem :  16009.2 total,  10173.7 free,   2511.3 used,   3324.2 buff/cache
MiB Mem :  16009.2 total,  10173.7 free,   2511.3 used,   3324.2 buff/cache
MiB Mem :  16009.2 total,  10173.7 free,   2511.3 used,   3324.2 buff/cache
MiB Mem :  16009.2 total,  10173.7 free,   2511.3 used,   3324.2 buff/cache
MiB Mem :  16009.2 total,  10173.7 free,   2511.3 used,   3324.2 buff/cache
MiB Mem :  16009.2 total,  10169.0 free,   2515.9 used,   3324.3 buff/cache
MiB Mem :  16009.2 total,  10169.0 free,   2515.9 used,   3324.3 buff/cache
MiB Mem :  16009.2 total,  10169.0 free,   2515.9 used,   3324.3 buff/cache
MiB Mem :  16009.2 total,  10169.0 free,   2515.9 used,   3324.3 buff/cache
MiB Mem :  16009.2 total,  10169.0 free,   2515.9 used,   3324.3 buff/cache
MiB Mem :  16009.2 total,  10169.0 free,   2515.9 used,   3324.3 buff/cache
MiB Mem :  16009.2 total,  10167.5 free,   2517.2 used,   3324.5 buff/cache
MiB Mem :  16009.2 total,  10167.5 free,   2517.2 used,   3324.5 buff/cache
MiB Mem :  16009.2 total,  10167.5 free,   2517.2 used,   3324.5 buff/cache
MiB Mem :  16009.2 total,  10167.5 free,   2517.2 used,   3324.5 buff/cache
MiB Mem :  16009.2 total,  10167.5 free,   2517.2 used,   3324.5 buff/cache
MiB Mem :  16009.2 total,  10167.5 free,   2517.2 used,   3324.5 buff/cache
MiB Mem :  16009.2 total,  10169.2 free,   2515.4 used,   3324.7 buff/cache
MiB Mem :  16009.2 total,  10169.2 free,   2515.4 used,   3324.7 buff/cache
MiB Mem :  16009.2 total,  10169.2 free,   2515.4 used,   3324.7 buff/cache
MiB Mem :  16009.2 total,  10169.2 free,   2515.4 used,   3324.7 buff/cache
MiB Mem :  16009.2 total,  10169.2 free,   2515.4 used,   3324.7 buff/cache
MiB Mem :  16009.2 total,  10171.7 free,   2512.7 used,   3324.8 buff/cache
MiB Mem :  16009.2 total,  10171.7 free,   2512.7 used,   3324.8 buff/cache
MiB Mem :  16009.2 total,  10171.7 free,   2512.7 used,   3324.8 buff/cache
MiB Mem :  16009.2 total,  10171.7 free,   2512.7 used,   3324.8 buff/cache
MiB Mem :  16009.2 total,  10171.7 free,   2512.7 used,   3324.8 buff/cache
MiB Mem :  16009.2 total,  10171.7 free,   2512.7 used,   3324.8 buff/cache
MiB Mem :  16009.2 total,  10173.6 free,   2510.7 used,   3325.0 buff/cache
MiB Mem :  16009.2 total,  10173.6 free,   2510.7 used,   3325.0 buff/cache
MiB Mem :  16009.2 total,  10173.6 free,   2510.7 used,   3325.0 buff/cache
MiB Mem :  16009.2 total,  10173.6 free,   2510.7 used,   3325.0 buff/cache
MiB Mem :  16009.2 total,  10173.6 free,   2510.7 used,   3325.0 buff/cache
MiB Mem :  16009.2 total,  10173.6 free,   2510.7 used,   3325.0 buff/cache
