MiB Mem :  16009.2 total,  11105.9 free,   1507.6 used,   3395.7 buff/cache
MiB Mem :  16009.2 total,  11105.9 free,   1507.6 used,   3395.7 buff/cache
MiB Mem :  16009.2 total,  11105.9 free,   1507.6 used,   3395.7 buff/cache
MiB Mem :  16009.2 total,  11105.9 free,   1507.6 used,   3395.7 buff/cache
MiB Mem :  16009.2 total,  11105.9 free,   1507.6 used,   3395.7 buff/cache
MiB Mem :  16009.2 total,  11105.9 free,   1507.6 used,   3395.7 buff/cache
MiB Mem :  16009.2 total,  11103.8 free,   1509.4 used,   3396.0 buff/cache
MiB Mem :  16009.2 total,  11103.8 free,   1509.4 used,   3396.0 buff/cache
MiB Mem :  16009.2 total,  11103.8 free,   1509.4 used,   3396.0 buff/cache
MiB Mem :  16009.2 total,  11103.8 free,   1509.4 used,   3396.0 buff/cache
MiB Mem :  16009.2 total,  11103.8 free,   1509.4 used,   3396.0 buff/cache
MiB Mem :  16009.2 total,  11103.8 free,   1509.4 used,   3396.0 buff/cache
MiB Mem :  16009.2 total,  11098.6 free,   1514.5 used,   3396.2 buff/cache
MiB Mem :  16009.2 total,  11098.6 free,   1514.5 used,   3396.2 buff/cache
MiB Mem :  16009.2 total,  11098.6 free,   1514.5 used,   3396.2 buff/cache
MiB Mem :  16009.2 total,  11098.6 free,   1514.5 used,   3396.2 buff/cache
MiB Mem :  16009.2 total,  11098.6 free,   1514.5 used,   3396.2 buff/cache
MiB Mem :  16009.2 total,  11098.6 free,   1514.5 used,   3396.2 buff/cache
MiB Mem :  16009.2 total,  11089.4 free,   1523.5 used,   3396.3 buff/cache
MiB Mem :  16009.2 total,  11089.4 free,   1523.5 used,   3396.3 buff/cache
MiB Mem :  16009.2 total,  11089.4 free,   1523.5 used,   3396.3 buff/cache
MiB Mem :  16009.2 total,  11089.4 free,   1523.5 used,   3396.3 buff/cache
MiB Mem :  16009.2 total,  11089.4 free,   1523.5 used,   3396.3 buff/cache
MiB Mem :  16009.2 total,  11089.4 free,   1523.5 used,   3396.3 buff/cache
MiB Mem :  16009.2 total,  11086.8 free,   1526.0 used,   3396.4 buff/cache
MiB Mem :  16009.2 total,  11086.8 free,   1526.0 used,   3396.4 buff/cache
MiB Mem :  16009.2 total,  11086.8 free,   1526.0 used,   3396.4 buff/cache
MiB Mem :  16009.2 total,  11086.8 free,   1526.0 used,   3396.4 buff/cache
MiB Mem :  16009.2 total,  11086.8 free,   1526.0 used,   3396.4 buff/cache
MiB Mem :  16009.2 total,  11086.8 free,   1526.0 used,   3396.4 buff/cache
MiB Mem :  16009.2 total,  11085.3 free,   1527.3 used,   3396.6 buff/cache
MiB Mem :  16009.2 total,  11085.3 free,   1527.3 used,   3396.6 buff/cache
MiB Mem :  16009.2 total,  11085.3 free,   1527.3 used,   3396.6 buff/cache
MiB Mem :  16009.2 total,  11085.3 free,   1527.3 used,   3396.6 buff/cache
MiB Mem :  16009.2 total,  11085.3 free,   1527.3 used,   3396.6 buff/cache
MiB Mem :  16009.2 total,  11079.7 free,   1532.8 used,   3396.7 buff/cache
MiB Mem :  16009.2 total,  11079.7 free,   1532.8 used,   3396.7 buff/cache
MiB Mem :  16009.2 total,  11079.7 free,   1532.8 used,   3396.7 buff/cache
MiB Mem :  16009.2 total,  11079.7 free,   1532.8 used,   3396.7 buff/cache
MiB Mem :  16009.2 total,  11079.7 free,   1532.8 used,   3396.7 buff/cache
MiB Mem :  16009.2 total,  11079.7 free,   1532.8 used,   3396.7 buff/cache
MiB Mem :  16009.2 total,  11078.0 free,   1534.3 used,   3396.8 buff/cache
MiB Mem :  16009.2 total,  11078.0 free,   1534.3 used,   3396.8 buff/cache
MiB Mem :  16009.2 total,  11078.0 free,   1534.3 used,   3396.8 buff/cache
MiB Mem :  16009.2 total,  11078.0 free,   1534.3 used,   3396.8 buff/cache
MiB Mem :  16009.2 total,  11078.0 free,   1534.3 used,   3396.8 buff/cache
MiB Mem :  16009.2 total,  11078.0 free,   1534.3 used,   3396.8 buff/cache
MiB Mem :  16009.2 total,  11078.4 free,   1533.9 used,   3397.0 buff/cache
MiB Mem :  16009.2 total,  11078.4 free,   1533.9 used,   3397.0 buff/cache
MiB Mem :  16009.2 total,  11078.4 free,   1533.9 used,   3397.0 buff/cache
MiB Mem :  16009.2 total,  11078.4 free,   1533.9 used,   3397.0 buff/cache
MiB Mem :  16009.2 total,  11078.4 free,   1533.9 used,   3397.0 buff/cache
MiB Mem :  16009.2 total,  11078.4 free,   1533.9 used,   3397.0 buff/cache
MiB Mem :  16009.2 total,  11075.6 free,   1536.5 used,   3397.1 buff/cache
MiB Mem :  16009.2 total,  11075.6 free,   1536.5 used,   3397.1 buff/cache
MiB Mem :  16009.2 total,  11075.6 free,   1536.5 used,   3397.1 buff/cache
MiB Mem :  16009.2 total,  11075.6 free,   1536.5 used,   3397.1 buff/cache
MiB Mem :  16009.2 total,  11075.6 free,   1536.5 used,   3397.1 buff/cache
MiB Mem :  16009.2 total,  11075.6 free,   1536.5 used,   3397.1 buff/cache
MiB Mem :  16009.2 total,  11075.1 free,   1536.9 used,   3397.3 buff/cache
MiB Mem :  16009.2 total,  11075.1 free,   1536.9 used,   3397.3 buff/cache
MiB Mem :  16009.2 total,  11075.1 free,   1536.9 used,   3397.3 buff/cache
MiB Mem :  16009.2 total,  11075.1 free,   1536.9 used,   3397.3 buff/cache
MiB Mem :  16009.2 total,  11075.1 free,   1536.9 used,   3397.3 buff/cache
MiB Mem :  16009.2 total,  11075.1 free,   1536.9 used,   3397.3 buff/cache
