MiB Mem :  16009.2 total,  11779.9 free,    997.3 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.3 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.3 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.3 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.3 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.2 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.2 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.2 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.2 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.2 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.9 free,    997.2 used,   3232.1 buff/cache
MiB Mem :  16009.2 total,  11779.4 free,    997.6 used,   3232.2 buff/cache
MiB Mem :  16009.2 total,  11779.4 free,    997.6 used,   3232.2 buff/cache
MiB Mem :  16009.2 total,  11779.4 free,    997.6 used,   3232.2 buff/cache
MiB Mem :  16009.2 total,  11779.4 free,    997.6 used,   3232.2 buff/cache
MiB Mem :  16009.2 total,  11779.4 free,    997.6 used,   3232.2 buff/cache
MiB Mem :  16009.2 total,  11779.4 free,    997.6 used,   3232.2 buff/cache
MiB Mem :  16009.2 total,  11779.1 free,    997.8 used,   3232.3 buff/cache
MiB Mem :  16009.2 total,  11779.1 free,    997.8 used,   3232.3 buff/cache
MiB Mem :  16009.2 total,  11779.1 free,    997.8 used,   3232.3 buff/cache
MiB Mem :  16009.2 total,  11779.1 free,    997.8 used,   3232.3 buff/cache
MiB Mem :  16009.2 total,  11779.1 free,    997.8 used,   3232.3 buff/cache
MiB Mem :  16009.2 total,  11779.1 free,    997.8 used,   3232.3 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    998.4 used,   3232.4 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    998.4 used,   3232.4 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    998.4 used,   3232.4 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    998.4 used,   3232.4 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    998.4 used,   3232.4 buff/cache
MiB Mem :  16009.2 total,  11778.4 free,    998.4 used,   3232.4 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    997.9 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    997.9 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    997.9 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    997.9 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    997.9 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11778.9 free,    997.9 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    999.1 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    999.1 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    999.1 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    999.1 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    999.1 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11777.5 free,    999.1 used,   3232.5 buff/cache
MiB Mem :  16009.2 total,  11778.7 free,    997.9 used,   3232.6 buff/cache
MiB Mem :  16009.2 total,  11778.7 free,    997.9 used,   3232.6 buff/cache
MiB Mem :  16009.2 total,  11778.7 free,    997.9 used,   3232.6 buff/cache
MiB Mem :  16009.2 total,  11778.7 free,    997.9 used,   3232.6 buff/cache
MiB Mem :  16009.2 total,  11778.7 free,    997.9 used,   3232.6 buff/cache
MiB Mem :  16009.2 total,  11778.7 free,    997.9 used,   3232.6 buff/cache
MiB Mem :  16009.2 total,  11779.7 free,    996.8 used,   3232.7 buff/cache
MiB Mem :  16009.2 total,  11779.7 free,    996.8 used,   3232.7 buff/cache
MiB Mem :  16009.2 total,  11779.7 free,    996.8 used,   3232.7 buff/cache
MiB Mem :  16009.2 total,  11779.7 free,    996.8 used,   3232.7 buff/cache
MiB Mem :  16009.2 total,  11779.7 free,    996.8 used,   3232.7 buff/cache
MiB Mem :  16009.2 total,  11779.7 free,    996.8 used,   3232.7 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    995.1 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    995.1 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    995.1 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    995.1 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    995.1 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11781.4 free,    995.1 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    993.0 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    993.0 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    993.0 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    993.0 used,   3232.8 buff/cache
MiB Mem :  16009.2 total,  11783.4 free,    993.0 used,   3232.8 buff/cache
