MiB Mem :  16009.2 total,  11972.8 free,    870.2 used,   3166.1 buff/cache
MiB Mem :  16009.2 total,  11972.8 free,    870.2 used,   3166.1 buff/cache
MiB Mem :  16009.2 total,  11972.8 free,    870.2 used,   3166.1 buff/cache
MiB Mem :  16009.2 total,  11972.8 free,    870.2 used,   3166.1 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    869.6 used,   3166.2 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    869.6 used,   3166.2 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    869.6 used,   3166.2 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    869.6 used,   3166.2 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    869.6 used,   3166.2 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    869.6 used,   3166.2 buff/cache
MiB Mem :  16009.2 total,  11973.1 free,    869.9 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11973.1 free,    869.9 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11973.1 free,    869.9 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11973.1 free,    869.9 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11973.1 free,    869.9 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11973.1 free,    869.9 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.3 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.3 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.3 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.3 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.3 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.3 used,   3166.3 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.2 used,   3166.4 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.2 used,   3166.4 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.2 used,   3166.4 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.2 used,   3166.4 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.2 used,   3166.4 buff/cache
MiB Mem :  16009.2 total,  11972.6 free,    870.2 used,   3166.4 buff/cache
MiB Mem :  16009.2 total,  11971.7 free,    871.0 used,   3166.5 buff/cache
MiB Mem :  16009.2 total,  11971.7 free,    871.0 used,   3166.5 buff/cache
MiB Mem :  16009.2 total,  11971.7 free,    871.0 used,   3166.5 buff/cache
MiB Mem :  16009.2 total,  11971.7 free,    871.0 used,   3166.5 buff/cache
MiB Mem :  16009.2 total,  11971.7 free,    871.0 used,   3166.5 buff/cache
MiB Mem :  16009.2 total,  11971.7 free,    871.0 used,   3166.5 buff/cache
MiB Mem :  16009.2 total,  11972.1 free,    870.5 used,   3166.6 buff/cache
MiB Mem :  16009.2 total,  11972.1 free,    870.5 used,   3166.6 buff/cache
MiB Mem :  16009.2 total,  11972.1 free,    870.5 used,   3166.6 buff/cache
MiB Mem :  16009.2 total,  11972.1 free,    870.5 used,   3166.6 buff/cache
MiB Mem :  16009.2 total,  11972.1 free,    870.5 used,   3166.6 buff/cache
MiB Mem :  16009.2 total,  11972.1 free,    870.5 used,   3166.6 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    870.8 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    870.8 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    870.8 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    870.8 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    870.8 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.8 free,    870.8 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.3 free,    871.2 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.3 free,    871.2 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.3 free,    871.2 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.3 free,    871.2 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.3 free,    871.2 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11971.3 free,    871.2 used,   3166.7 buff/cache
MiB Mem :  16009.2 total,  11973.9 free,    868.5 used,   3166.8 buff/cache
MiB Mem :  16009.2 total,  11973.9 free,    868.5 used,   3166.8 buff/cache
MiB Mem :  16009.2 total,  11973.9 free,    868.5 used,   3166.8 buff/cache
MiB Mem :  16009.2 total,  11973.9 free,    868.5 used,   3166.8 buff/cache
MiB Mem :  16009.2 total,  11973.9 free,    868.5 used,   3166.8 buff/cache
MiB Mem :  16009.2 total,  11973.9 free,    868.5 used,   3166.8 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    868.9 used,   3166.9 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    868.9 used,   3166.9 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    868.9 used,   3166.9 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    868.9 used,   3166.9 buff/cache
MiB Mem :  16009.2 total,  11973.4 free,    868.9 used,   3166.9 buff/cache
