MiB Mem :  16009.2 total,  11968.1 free,    871.3 used,   3169.7 buff/cache
MiB Mem :  16009.2 total,  11968.1 free,    871.3 used,   3169.7 buff/cache
MiB Mem :  16009.2 total,  11968.1 free,    871.3 used,   3169.7 buff/cache
MiB Mem :  16009.2 total,  11968.1 free,    871.3 used,   3169.7 buff/cache
MiB Mem :  16009.2 total,  11968.1 free,    871.3 used,   3169.7 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.4 used,   3169.8 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.4 used,   3169.8 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.4 used,   3169.8 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.4 used,   3169.8 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.4 used,   3169.8 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.4 used,   3169.8 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.3 used,   3169.9 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.3 used,   3169.9 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.3 used,   3169.9 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.3 used,   3169.9 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.3 used,   3169.9 buff/cache
MiB Mem :  16009.2 total,  11968.0 free,    871.3 used,   3169.9 buff/cache
MiB Mem :  16009.2 total,  11965.8 free,    873.4 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.8 free,    873.4 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.8 free,    873.4 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.8 free,    873.4 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.8 free,    873.4 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.1 free,    874.1 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.1 free,    874.1 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.1 free,    874.1 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.1 free,    874.1 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.1 free,    874.1 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11965.1 free,    874.1 used,   3170.0 buff/cache
MiB Mem :  16009.2 total,  11964.5 free,    874.6 used,   3170.1 buff/cache
MiB Mem :  16009.2 total,  11964.5 free,    874.6 used,   3170.1 buff/cache
MiB Mem :  16009.2 total,  11964.5 free,    874.6 used,   3170.1 buff/cache
MiB Mem :  16009.2 total,  11964.5 free,    874.6 used,   3170.1 buff/cache
MiB Mem :  16009.2 total,  11964.5 free,    874.6 used,   3170.1 buff/cache
MiB Mem :  16009.2 total,  11964.5 free,    874.6 used,   3170.1 buff/cache
MiB Mem :  16009.2 total,  11964.0 free,    875.0 used,   3170.2 buff/cache
MiB Mem :  16009.2 total,  11964.0 free,    875.0 used,   3170.2 buff/cache
MiB Mem :  16009.2 total,  11964.0 free,    875.0 used,   3170.2 buff/cache
MiB Mem :  16009.2 total,  11964.0 free,    875.0 used,   3170.2 buff/cache
MiB Mem :  16009.2 total,  11964.0 free,    875.0 used,   3170.2 buff/cache
MiB Mem :  16009.2 total,  11964.0 free,    875.0 used,   3170.2 buff/cache
MiB Mem :  16009.2 total,  11966.3 free,    872.6 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11966.3 free,    872.6 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11966.3 free,    872.6 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11966.3 free,    872.6 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11966.3 free,    872.6 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11966.3 free,    872.6 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11965.5 free,    873.4 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11965.5 free,    873.4 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11965.5 free,    873.4 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11965.5 free,    873.4 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11965.5 free,    873.4 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11965.5 free,    873.4 used,   3170.3 buff/cache
MiB Mem :  16009.2 total,  11964.7 free,    874.0 used,   3170.4 buff/cache
MiB Mem :  16009.2 total,  11964.7 free,    874.0 used,   3170.4 buff/cache
MiB Mem :  16009.2 total,  11964.7 free,    874.0 used,   3170.4 buff/cache
MiB Mem :  16009.2 total,  11964.7 free,    874.0 used,   3170.4 buff/cache
MiB Mem :  16009.2 total,  11964.7 free,    874.0 used,   3170.4 buff/cache
MiB Mem :  16009.2 total,  11964.7 free,    874.0 used,   3170.4 buff/cache
MiB Mem :  16009.2 total,  11965.0 free,    873.7 used,   3170.5 buff/cache
MiB Mem :  16009.2 total,  11965.0 free,    873.7 used,   3170.5 buff/cache
MiB Mem :  16009.2 total,  11965.0 free,    873.7 used,   3170.5 buff/cache
MiB Mem :  16009.2 total,  11965.0 free,    873.7 used,   3170.5 buff/cache
MiB Mem :  16009.2 total,  11965.0 free,    873.7 used,   3170.5 buff/cache
MiB Mem :  16009.2 total,  11965.0 free,    873.7 used,   3170.5 buff/cache
