MiB Mem :  16009.2 total,  11611.9 free,   1190.6 used,   3206.7 buff/cache
MiB Mem :  16009.2 total,  11611.9 free,   1190.6 used,   3206.7 buff/cache
MiB Mem :  16009.2 total,  11611.9 free,   1190.6 used,   3206.7 buff/cache
MiB Mem :  16009.2 total,  11611.9 free,   1190.6 used,   3206.7 buff/cache
MiB Mem :  16009.2 total,  11611.9 free,   1190.6 used,   3206.7 buff/cache
MiB Mem :  16009.2 total,  11611.9 free,   1190.6 used,   3206.7 buff/cache
MiB Mem :  16009.2 total,  11606.8 free,   1195.6 used,   3206.8 buff/cache
MiB Mem :  16009.2 total,  11606.8 free,   1195.6 used,   3206.8 buff/cache
MiB Mem :  16009.2 total,  11606.8 free,   1195.6 used,   3206.8 buff/cache
MiB Mem :  16009.2 total,  11606.8 free,   1195.6 used,   3206.8 buff/cache
MiB Mem :  16009.2 total,  11606.8 free,   1195.6 used,   3206.8 buff/cache
MiB Mem :  16009.2 total,  11606.8 free,   1195.6 used,   3206.8 buff/cache
MiB Mem :  16009.2 total,  11605.5 free,   1196.7 used,   3207.0 buff/cache
MiB Mem :  16009.2 total,  11605.5 free,   1196.7 used,   3207.0 buff/cache
MiB Mem :  16009.2 total,  11605.5 free,   1196.7 used,   3207.0 buff/cache
MiB Mem :  16009.2 total,  11605.5 free,   1196.7 used,   3207.0 buff/cache
MiB Mem :  16009.2 total,  11605.5 free,   1196.7 used,   3207.0 buff/cache
MiB Mem :  16009.2 total,  11605.5 free,   1196.7 used,   3207.0 buff/cache
MiB Mem :  16009.2 total,  11606.9 free,   1195.2 used,   3207.1 buff/cache
MiB Mem :  16009.2 total,  11606.9 free,   1195.2 used,   3207.1 buff/cache
MiB Mem :  16009.2 total,  11606.9 free,   1195.2 used,   3207.1 buff/cache
MiB Mem :  16009.2 total,  11606.9 free,   1195.2 used,   3207.1 buff/cache
MiB Mem :  16009.2 total,  11606.9 free,   1195.2 used,   3207.1 buff/cache
MiB Mem :  16009.2 total,  11606.9 free,   1195.2 used,   3207.1 buff/cache
MiB Mem :  16009.2 total,  11603.6 free,   1198.4 used,   3207.2 buff/cache
MiB Mem :  16009.2 total,  11603.6 free,   1198.4 used,   3207.2 buff/cache
MiB Mem :  16009.2 total,  11603.6 free,   1198.4 used,   3207.2 buff/cache
MiB Mem :  16009.2 total,  11603.6 free,   1198.4 used,   3207.2 buff/cache
MiB Mem :  16009.2 total,  11603.6 free,   1198.4 used,   3207.2 buff/cache
MiB Mem :  16009.2 total,  11603.0 free,   1198.9 used,   3207.3 buff/cache
MiB Mem :  16009.2 total,  11603.0 free,   1198.9 used,   3207.3 buff/cache
MiB Mem :  16009.2 total,  11603.0 free,   1198.9 used,   3207.3 buff/cache
MiB Mem :  16009.2 total,  11603.0 free,   1198.9 used,   3207.3 buff/cache
MiB Mem :  16009.2 total,  11603.0 free,   1198.9 used,   3207.3 buff/cache
MiB Mem :  16009.2 total,  11603.0 free,   1198.9 used,   3207.3 buff/cache
MiB Mem :  16009.2 total,  11602.1 free,   1199.6 used,   3207.5 buff/cache
MiB Mem :  16009.2 total,  11602.1 free,   1199.6 used,   3207.5 buff/cache
MiB Mem :  16009.2 total,  11602.1 free,   1199.6 used,   3207.5 buff/cache
MiB Mem :  16009.2 total,  11602.1 free,   1199.6 used,   3207.5 buff/cache
MiB Mem :  16009.2 total,  11602.1 free,   1199.6 used,   3207.5 buff/cache
MiB Mem :  16009.2 total,  11602.1 free,   1199.6 used,   3207.5 buff/cache
MiB Mem :  16009.2 total,  11600.9 free,   1200.8 used,   3207.6 buff/cache
MiB Mem :  16009.2 total,  11600.9 free,   1200.8 used,   3207.6 buff/cache
MiB Mem :  16009.2 total,  11600.9 free,   1200.8 used,   3207.6 buff/cache
MiB Mem :  16009.2 total,  11600.9 free,   1200.8 used,   3207.6 buff/cache
MiB Mem :  16009.2 total,  11600.9 free,   1200.8 used,   3207.6 buff/cache
MiB Mem :  16009.2 total,  11600.9 free,   1200.8 used,   3207.6 buff/cache
MiB Mem :  16009.2 total,  11599.7 free,   1201.9 used,   3207.7 buff/cache
MiB Mem :  16009.2 total,  11599.7 free,   1201.9 used,   3207.7 buff/cache
MiB Mem :  16009.2 total,  11599.7 free,   1201.9 used,   3207.7 buff/cache
MiB Mem :  16009.2 total,  11599.7 free,   1201.9 used,   3207.7 buff/cache
MiB Mem :  16009.2 total,  11599.7 free,   1201.9 used,   3207.7 buff/cache
MiB Mem :  16009.2 total,  11599.7 free,   1201.9 used,   3207.7 buff/cache
MiB Mem :  16009.2 total,  11599.9 free,   1201.5 used,   3207.8 buff/cache
MiB Mem :  16009.2 total,  11599.9 free,   1201.5 used,   3207.8 buff/cache
MiB Mem :  16009.2 total,  11599.9 free,   1201.5 used,   3207.8 buff/cache
MiB Mem :  16009.2 total,  11599.9 free,   1201.5 used,   3207.8 buff/cache
MiB Mem :  16009.2 total,  11599.9 free,   1201.5 used,   3207.8 buff/cache
MiB Mem :  16009.2 total,  11599.9 free,   1201.5 used,   3207.8 buff/cache
MiB Mem :  16009.2 total,  11605.0 free,   1196.3 used,   3207.9 buff/cache
MiB Mem :  16009.2 total,  11605.0 free,   1196.3 used,   3207.9 buff/cache
MiB Mem :  16009.2 total,  11605.0 free,   1196.3 used,   3207.9 buff/cache
MiB Mem :  16009.2 total,  11605.0 free,   1196.3 used,   3207.9 buff/cache
