MiB Mem :  16009.2 total,  11968.6 free,    873.6 used,   3167.1 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    873.6 used,   3167.1 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    873.6 used,   3167.1 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    873.6 used,   3167.1 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    873.6 used,   3167.1 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    873.6 used,   3167.1 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.4 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.4 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.4 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.4 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.4 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.4 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.6 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.6 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.6 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.6 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.6 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.6 used,   3167.2 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.2 used,   3167.3 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.2 used,   3167.3 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.2 used,   3167.3 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.2 used,   3167.3 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.2 used,   3167.3 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    874.2 used,   3167.3 buff/cache
MiB Mem :  16009.2 total,  11967.2 free,    874.6 used,   3167.4 buff/cache
MiB Mem :  16009.2 total,  11967.2 free,    874.6 used,   3167.4 buff/cache
MiB Mem :  16009.2 total,  11967.2 free,    874.6 used,   3167.4 buff/cache
MiB Mem :  16009.2 total,  11967.2 free,    874.6 used,   3167.4 buff/cache
MiB Mem :  16009.2 total,  11967.2 free,    874.6 used,   3167.4 buff/cache
MiB Mem :  16009.2 total,  11967.2 free,    874.6 used,   3167.4 buff/cache
MiB Mem :  16009.2 total,  11967.1 free,    874.7 used,   3167.5 buff/cache
MiB Mem :  16009.2 total,  11967.1 free,    874.7 used,   3167.5 buff/cache
MiB Mem :  16009.2 total,  11967.1 free,    874.7 used,   3167.5 buff/cache
MiB Mem :  16009.2 total,  11967.1 free,    874.7 used,   3167.5 buff/cache
MiB Mem :  16009.2 total,  11967.1 free,    874.7 used,   3167.5 buff/cache
MiB Mem :  16009.2 total,  11967.1 free,    874.7 used,   3167.5 buff/cache
MiB Mem :  16009.2 total,  11967.5 free,    874.1 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.5 free,    874.1 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.5 free,    874.1 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.5 free,    874.1 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.5 free,    874.1 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.5 free,    874.1 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.3 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.3 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.3 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.3 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.3 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.3 free,    874.3 used,   3167.6 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    873.8 used,   3167.7 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    873.8 used,   3167.7 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    873.8 used,   3167.7 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    873.8 used,   3167.7 buff/cache
MiB Mem :  16009.2 total,  11967.7 free,    873.8 used,   3167.7 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    872.8 used,   3167.8 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    872.8 used,   3167.8 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    872.8 used,   3167.8 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    872.8 used,   3167.8 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    872.8 used,   3167.8 buff/cache
MiB Mem :  16009.2 total,  11968.6 free,    872.8 used,   3167.8 buff/cache
MiB Mem :  16009.2 total,  11968.5 free,    872.8 used,   3167.9 buff/cache
MiB Mem :  16009.2 total,  11968.5 free,    872.8 used,   3167.9 buff/cache
MiB Mem :  16009.2 total,  11968.5 free,    872.8 used,   3167.9 buff/cache
MiB Mem :  16009.2 total,  11968.5 free,    872.8 used,   3167.9 buff/cache
MiB Mem :  16009.2 total,  11968.5 free,    872.8 used,   3167.9 buff/cache
MiB Mem :  16009.2 total,  11968.5 free,    872.8 used,   3167.9 buff/cache
MiB Mem :  16009.2 total,  11967.6 free,    873.7 used,   3168.0 buff/cache
