MiB Mem :  16009.2 total,  11975.4 free,    868.6 used,   3165.1 buff/cache
MiB Mem :  16009.2 total,  11975.4 free,    868.6 used,   3165.1 buff/cache
MiB Mem :  16009.2 total,  11975.4 free,    868.6 used,   3165.1 buff/cache
MiB Mem :  16009.2 total,  11975.4 free,    868.6 used,   3165.1 buff/cache
MiB Mem :  16009.2 total,  11975.4 free,    868.6 used,   3165.1 buff/cache
MiB Mem :  16009.2 total,  11974.8 free,    869.2 used,   3165.2 buff/cache
MiB Mem :  16009.2 total,  11974.8 free,    869.2 used,   3165.2 buff/cache
MiB Mem :  16009.2 total,  11974.8 free,    869.2 used,   3165.2 buff/cache
MiB Mem :  16009.2 total,  11974.8 free,    869.2 used,   3165.2 buff/cache
MiB Mem :  16009.2 total,  11974.8 free,    869.2 used,   3165.2 buff/cache
MiB Mem :  16009.2 total,  11974.8 free,    869.2 used,   3165.2 buff/cache
MiB Mem :  16009.2 total,  11974.0 free,    870.0 used,   3165.3 buff/cache
MiB Mem :  16009.2 total,  11974.0 free,    870.0 used,   3165.3 buff/cache
MiB Mem :  16009.2 total,  11974.0 free,    870.0 used,   3165.3 buff/cache
MiB Mem :  16009.2 total,  11974.0 free,    870.0 used,   3165.3 buff/cache
MiB Mem :  16009.2 total,  11974.0 free,    870.0 used,   3165.3 buff/cache
MiB Mem :  16009.2 total,  11974.0 free,    870.0 used,   3165.3 buff/cache
MiB Mem :  16009.2 total,  11973.2 free,    870.7 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.2 free,    870.7 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.2 free,    870.7 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.2 free,    870.7 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.2 free,    870.7 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.2 free,    870.7 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.0 free,    870.8 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.0 free,    870.8 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.0 free,    870.8 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.0 free,    870.8 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.0 free,    870.8 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.0 free,    870.8 used,   3165.4 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    870.0 used,   3165.5 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    870.0 used,   3165.5 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    870.0 used,   3165.5 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    870.0 used,   3165.5 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    870.0 used,   3165.5 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    870.0 used,   3165.5 buff/cache
MiB Mem :  16009.2 total,  11973.3 free,    870.3 used,   3165.6 buff/cache
MiB Mem :  16009.2 total,  11973.3 free,    870.3 used,   3165.6 buff/cache
MiB Mem :  16009.2 total,  11973.3 free,    870.3 used,   3165.6 buff/cache
MiB Mem :  16009.2 total,  11973.3 free,    870.3 used,   3165.6 buff/cache
MiB Mem :  16009.2 total,  11973.3 free,    870.3 used,   3165.6 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    869.8 used,   3165.7 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    869.8 used,   3165.7 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    869.8 used,   3165.7 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    869.8 used,   3165.7 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    869.8 used,   3165.7 buff/cache
MiB Mem :  16009.2 total,  11973.7 free,    869.8 used,   3165.7 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    869.0 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    869.0 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    869.0 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    869.0 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    869.0 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    869.0 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    868.9 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    868.9 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    868.9 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    868.9 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    868.9 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.5 free,    868.9 used,   3165.8 buff/cache
MiB Mem :  16009.2 total,  11974.3 free,    869.0 used,   3165.9 buff/cache
MiB Mem :  16009.2 total,  11974.3 free,    869.0 used,   3165.9 buff/cache
MiB Mem :  16009.2 total,  11974.3 free,    869.0 used,   3165.9 buff/cache
MiB Mem :  16009.2 total,  11974.3 free,    869.0 used,   3165.9 buff/cache
MiB Mem :  16009.2 total,  11974.3 free,    869.0 used,   3165.9 buff/cache
MiB Mem :  16009.2 total,  11974.3 free,    869.0 used,   3165.9 buff/cache
