MiB Mem :  16009.2 total,  11980.0 free,    867.3 used,   3161.9 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    867.3 used,   3161.9 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    867.3 used,   3161.9 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    867.3 used,   3161.9 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    867.3 used,   3161.9 buff/cache
MiB Mem :  16009.2 total,  11981.5 free,    865.7 used,   3162.0 buff/cache
MiB Mem :  16009.2 total,  11981.5 free,    865.7 used,   3162.0 buff/cache
MiB Mem :  16009.2 total,  11981.5 free,    865.7 used,   3162.0 buff/cache
MiB Mem :  16009.2 total,  11981.5 free,    865.7 used,   3162.0 buff/cache
MiB Mem :  16009.2 total,  11981.5 free,    865.7 used,   3162.0 buff/cache
MiB Mem :  16009.2 total,  11981.5 free,    865.7 used,   3162.0 buff/cache
MiB Mem :  16009.2 total,  11980.6 free,    866.6 used,   3162.1 buff/cache
MiB Mem :  16009.2 total,  11980.6 free,    866.6 used,   3162.1 buff/cache
MiB Mem :  16009.2 total,  11980.6 free,    866.6 used,   3162.1 buff/cache
MiB Mem :  16009.2 total,  11980.6 free,    866.6 used,   3162.1 buff/cache
MiB Mem :  16009.2 total,  11980.6 free,    866.6 used,   3162.1 buff/cache
MiB Mem :  16009.2 total,  11980.6 free,    866.6 used,   3162.1 buff/cache
MiB Mem :  16009.2 total,  11980.8 free,    866.3 used,   3162.2 buff/cache
MiB Mem :  16009.2 total,  11980.8 free,    866.3 used,   3162.2 buff/cache
MiB Mem :  16009.2 total,  11980.8 free,    866.3 used,   3162.2 buff/cache
MiB Mem :  16009.2 total,  11980.8 free,    866.3 used,   3162.2 buff/cache
MiB Mem :  16009.2 total,  11980.8 free,    866.3 used,   3162.2 buff/cache
MiB Mem :  16009.2 total,  11980.8 free,    866.3 used,   3162.2 buff/cache
MiB Mem :  16009.2 total,  11980.9 free,    866.1 used,   3162.3 buff/cache
MiB Mem :  16009.2 total,  11980.9 free,    866.1 used,   3162.3 buff/cache
MiB Mem :  16009.2 total,  11980.9 free,    866.1 used,   3162.3 buff/cache
MiB Mem :  16009.2 total,  11980.9 free,    866.1 used,   3162.3 buff/cache
MiB Mem :  16009.2 total,  11980.9 free,    866.1 used,   3162.3 buff/cache
MiB Mem :  16009.2 total,  11980.9 free,    866.1 used,   3162.3 buff/cache
MiB Mem :  16009.2 total,  11980.2 free,    866.7 used,   3162.4 buff/cache
MiB Mem :  16009.2 total,  11980.2 free,    866.7 used,   3162.4 buff/cache
MiB Mem :  16009.2 total,  11980.2 free,    866.7 used,   3162.4 buff/cache
MiB Mem :  16009.2 total,  11980.2 free,    866.7 used,   3162.4 buff/cache
MiB Mem :  16009.2 total,  11980.2 free,    866.7 used,   3162.4 buff/cache
MiB Mem :  16009.2 total,  11980.2 free,    866.7 used,   3162.4 buff/cache
MiB Mem :  16009.2 total,  11979.3 free,    867.5 used,   3162.5 buff/cache
MiB Mem :  16009.2 total,  11979.3 free,    867.5 used,   3162.5 buff/cache
MiB Mem :  16009.2 total,  11979.3 free,    867.5 used,   3162.5 buff/cache
MiB Mem :  16009.2 total,  11979.3 free,    867.5 used,   3162.5 buff/cache
MiB Mem :  16009.2 total,  11979.3 free,    867.5 used,   3162.5 buff/cache
MiB Mem :  16009.2 total,  11979.3 free,    867.5 used,   3162.5 buff/cache
MiB Mem :  16009.2 total,  11979.5 free,    867.1 used,   3162.6 buff/cache
MiB Mem :  16009.2 total,  11979.5 free,    867.1 used,   3162.6 buff/cache
MiB Mem :  16009.2 total,  11979.5 free,    867.1 used,   3162.6 buff/cache
MiB Mem :  16009.2 total,  11979.5 free,    867.1 used,   3162.6 buff/cache
MiB Mem :  16009.2 total,  11979.5 free,    867.1 used,   3162.6 buff/cache
MiB Mem :  16009.2 total,  11979.5 free,    867.1 used,   3162.6 buff/cache
MiB Mem :  16009.2 total,  11979.0 free,    867.6 used,   3162.7 buff/cache
MiB Mem :  16009.2 total,  11979.0 free,    867.6 used,   3162.7 buff/cache
MiB Mem :  16009.2 total,  11979.0 free,    867.6 used,   3162.7 buff/cache
MiB Mem :  16009.2 total,  11979.0 free,    867.6 used,   3162.7 buff/cache
MiB Mem :  16009.2 total,  11979.0 free,    867.6 used,   3162.7 buff/cache
MiB Mem :  16009.2 total,  11979.0 free,    867.6 used,   3162.7 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    866.4 used,   3162.8 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    866.4 used,   3162.8 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    866.4 used,   3162.8 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    866.4 used,   3162.8 buff/cache
MiB Mem :  16009.2 total,  11980.0 free,    866.4 used,   3162.8 buff/cache
MiB Mem :  16009.2 total,  11978.2 free,    868.1 used,   3162.9 buff/cache
MiB Mem :  16009.2 total,  11978.2 free,    868.1 used,   3162.9 buff/cache
