MiB Mem :  16009.2 total,  10116.5 free,   2529.5 used,   3363.2 buff/cache
MiB Mem :  16009.2 total,  10116.5 free,   2529.5 used,   3363.2 buff/cache
MiB Mem :  16009.2 total,  10116.5 free,   2529.5 used,   3363.2 buff/cache
MiB Mem :  16009.2 total,  10116.5 free,   2529.5 used,   3363.2 buff/cache
MiB Mem :  16009.2 total,  10116.5 free,   2529.5 used,   3363.2 buff/cache
MiB Mem :  16009.2 total,  10116.5 free,   2529.5 used,   3363.2 buff/cache
MiB Mem :  16009.2 total,  10114.1 free,   2531.7 used,   3363.4 buff/cache
MiB Mem :  16009.2 total,  10114.1 free,   2531.7 used,   3363.4 buff/cache
MiB Mem :  16009.2 total,  10114.1 free,   2531.7 used,   3363.4 buff/cache
MiB Mem :  16009.2 total,  10114.1 free,   2531.7 used,   3363.4 buff/cache
MiB Mem :  16009.2 total,  10114.1 free,   2531.7 used,   3363.4 buff/cache
MiB Mem :  16009.2 total,  10114.1 free,   2531.7 used,   3363.4 buff/cache
MiB Mem :  16009.2 total,  10106.6 free,   2539.1 used,   3363.5 buff/cache
MiB Mem :  16009.2 total,  10106.6 free,   2539.1 used,   3363.5 buff/cache
MiB Mem :  16009.2 total,  10106.6 free,   2539.1 used,   3363.5 buff/cache
MiB Mem :  16009.2 total,  10106.6 free,   2539.1 used,   3363.5 buff/cache
MiB Mem :  16009.2 total,  10106.6 free,   2539.1 used,   3363.5 buff/cache
MiB Mem :  16009.2 total,  10106.6 free,   2539.1 used,   3363.5 buff/cache
MiB Mem :  16009.2 total,  10115.5 free,   2530.1 used,   3363.6 buff/cache
MiB Mem :  16009.2 total,  10115.5 free,   2530.1 used,   3363.6 buff/cache
MiB Mem :  16009.2 total,  10115.5 free,   2530.1 used,   3363.6 buff/cache
MiB Mem :  16009.2 total,  10115.5 free,   2530.1 used,   3363.6 buff/cache
MiB Mem :  16009.2 total,  10115.5 free,   2530.1 used,   3363.6 buff/cache
MiB Mem :  16009.2 total,  10115.5 free,   2530.1 used,   3363.6 buff/cache
MiB Mem :  16009.2 total,  10115.8 free,   2529.6 used,   3363.8 buff/cache
MiB Mem :  16009.2 total,  10115.8 free,   2529.6 used,   3363.8 buff/cache
