MiB Mem :  16009.2 total,  11383.2 free,   1238.0 used,   3388.0 buff/cache
MiB Mem :  16009.2 total,  11383.2 free,   1238.0 used,   3388.0 buff/cache
MiB Mem :  16009.2 total,  11383.2 free,   1238.0 used,   3388.0 buff/cache
MiB Mem :  16009.2 total,  11383.2 free,   1238.0 used,   3388.0 buff/cache
MiB Mem :  16009.2 total,  11383.2 free,   1238.0 used,   3388.0 buff/cache
MiB Mem :  16009.2 total,  11384.4 free,   1236.8 used,   3388.1 buff/cache
MiB Mem :  16009.2 total,  11384.4 free,   1236.8 used,   3388.1 buff/cache
MiB Mem :  16009.2 total,  11384.4 free,   1236.8 used,   3388.1 buff/cache
MiB Mem :  16009.2 total,  11384.4 free,   1236.8 used,   3388.1 buff/cache
MiB Mem :  16009.2 total,  11384.4 free,   1236.8 used,   3388.1 buff/cache
MiB Mem :  16009.2 total,  11384.4 free,   1236.8 used,   3388.1 buff/cache
MiB Mem :  16009.2 total,  11383.4 free,   1237.7 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11383.4 free,   1237.7 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11383.4 free,   1237.7 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11383.4 free,   1237.7 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11383.4 free,   1237.7 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11383.4 free,   1237.7 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11384.0 free,   1237.0 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11384.0 free,   1237.0 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11384.0 free,   1237.0 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11384.0 free,   1237.0 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11384.0 free,   1237.0 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11384.0 free,   1237.0 used,   3388.2 buff/cache
MiB Mem :  16009.2 total,  11380.4 free,   1240.5 used,   3388.3 buff/cache
MiB Mem :  16009.2 total,  11380.4 free,   1240.5 used,   3388.3 buff/cache
MiB Mem :  16009.2 total,  11380.4 free,   1240.5 used,   3388.3 buff/cache
MiB Mem :  16009.2 total,  11380.4 free,   1240.5 used,   3388.3 buff/cache
MiB Mem :  16009.2 total,  11380.4 free,   1240.5 used,   3388.3 buff/cache
MiB Mem :  16009.2 total,  11380.4 free,   1240.5 used,   3388.3 buff/cache
MiB Mem :  16009.2 total,  11377.8 free,   1243.0 used,   3388.4 buff/cache
MiB Mem :  16009.2 total,  11377.8 free,   1243.0 used,   3388.4 buff/cache
MiB Mem :  16009.2 total,  11377.8 free,   1243.0 used,   3388.4 buff/cache
MiB Mem :  16009.2 total,  11377.8 free,   1243.0 used,   3388.4 buff/cache
MiB Mem :  16009.2 total,  11377.8 free,   1243.0 used,   3388.4 buff/cache
MiB Mem :  16009.2 total,  11377.8 free,   1243.0 used,   3388.4 buff/cache
MiB Mem :  16009.2 total,  11375.7 free,   1245.0 used,   3388.5 buff/cache
MiB Mem :  16009.2 total,  11375.7 free,   1245.0 used,   3388.5 buff/cache
MiB Mem :  16009.2 total,  11375.7 free,   1245.0 used,   3388.5 buff/cache
MiB Mem :  16009.2 total,  11375.7 free,   1245.0 used,   3388.5 buff/cache
MiB Mem :  16009.2 total,  11375.7 free,   1245.0 used,   3388.5 buff/cache
MiB Mem :  16009.2 total,  11375.7 free,   1245.0 used,   3388.5 buff/cache
MiB Mem :  16009.2 total,  11373.9 free,   1246.7 used,   3388.6 buff/cache
MiB Mem :  16009.2 total,  11373.9 free,   1246.7 used,   3388.6 buff/cache
MiB Mem :  16009.2 total,  11373.9 free,   1246.7 used,   3388.6 buff/cache
MiB Mem :  16009.2 total,  11373.9 free,   1246.7 used,   3388.6 buff/cache
MiB Mem :  16009.2 total,  11373.9 free,   1246.7 used,   3388.6 buff/cache
MiB Mem :  16009.2 total,  11376.6 free,   1243.9 used,   3388.7 buff/cache
MiB Mem :  16009.2 total,  11376.6 free,   1243.9 used,   3388.7 buff/cache
MiB Mem :  16009.2 total,  11376.6 free,   1243.9 used,   3388.7 buff/cache
MiB Mem :  16009.2 total,  11376.6 free,   1243.9 used,   3388.7 buff/cache
MiB Mem :  16009.2 total,  11376.6 free,   1243.9 used,   3388.7 buff/cache
MiB Mem :  16009.2 total,  11376.6 free,   1243.9 used,   3388.7 buff/cache
MiB Mem :  16009.2 total,  11377.7 free,   1242.7 used,   3388.8 buff/cache
MiB Mem :  16009.2 total,  11377.7 free,   1242.7 used,   3388.8 buff/cache
MiB Mem :  16009.2 total,  11377.7 free,   1242.7 used,   3388.8 buff/cache
MiB Mem :  16009.2 total,  11377.7 free,   1242.7 used,   3388.8 buff/cache
MiB Mem :  16009.2 total,  11377.7 free,   1242.7 used,   3388.8 buff/cache
MiB Mem :  16009.2 total,  11377.7 free,   1242.7 used,   3388.8 buff/cache
MiB Mem :  16009.2 total,  11376.9 free,   1243.4 used,   3388.9 buff/cache
MiB Mem :  16009.2 total,  11376.9 free,   1243.4 used,   3388.9 buff/cache
MiB Mem :  16009.2 total,  11376.9 free,   1243.4 used,   3388.9 buff/cache
MiB Mem :  16009.2 total,  11376.9 free,   1243.4 used,   3388.9 buff/cache
MiB Mem :  16009.2 total,  11376.9 free,   1243.4 used,   3388.9 buff/cache
MiB Mem :  16009.2 total,  11376.9 free,   1243.4 used,   3388.9 buff/cache
MiB Mem :  16009.2 total,  11375.9 free,   1244.3 used,   3389.0 buff/cache
