MiB Mem :  16009.2 total,  10083.0 free,   2570.0 used,   3356.2 buff/cache
MiB Mem :  16009.2 total,  10083.0 free,   2570.0 used,   3356.2 buff/cache
MiB Mem :  16009.2 total,  10083.0 free,   2570.0 used,   3356.2 buff/cache
MiB Mem :  16009.2 total,  10083.0 free,   2570.0 used,   3356.2 buff/cache
MiB Mem :  16009.2 total,  10083.0 free,   2570.0 used,   3356.2 buff/cache
MiB Mem :  16009.2 total,  10083.0 free,   2570.0 used,   3356.2 buff/cache
MiB Mem :  16009.2 total,  10079.9 free,   2572.7 used,   3356.5 buff/cache
MiB Mem :  16009.2 total,  10079.9 free,   2572.7 used,   3356.5 buff/cache
MiB Mem :  16009.2 total,  10079.9 free,   2572.7 used,   3356.5 buff/cache
MiB Mem :  16009.2 total,  10079.9 free,   2572.7 used,   3356.5 buff/cache
MiB Mem :  16009.2 total,  10079.9 free,   2572.7 used,   3356.5 buff/cache
MiB Mem :  16009.2 total,  10079.9 free,   2572.7 used,   3356.5 buff/cache
MiB Mem :  16009.2 total,  10077.1 free,   2575.4 used,   3356.8 buff/cache
MiB Mem :  16009.2 total,  10077.1 free,   2575.4 used,   3356.8 buff/cache
MiB Mem :  16009.2 total,  10077.1 free,   2575.4 used,   3356.8 buff/cache
MiB Mem :  16009.2 total,  10077.1 free,   2575.4 used,   3356.8 buff/cache
MiB Mem :  16009.2 total,  10077.1 free,   2575.4 used,   3356.8 buff/cache
MiB Mem :  16009.2 total,  10077.1 free,   2575.4 used,   3356.8 buff/cache
MiB Mem :  16009.2 total,  10079.8 free,   2572.5 used,   3356.9 buff/cache
MiB Mem :  16009.2 total,  10079.8 free,   2572.5 used,   3356.9 buff/cache
MiB Mem :  16009.2 total,  10079.8 free,   2572.5 used,   3356.9 buff/cache
MiB Mem :  16009.2 total,  10079.8 free,   2572.5 used,   3356.9 buff/cache
MiB Mem :  16009.2 total,  10079.8 free,   2572.5 used,   3356.9 buff/cache
MiB Mem :  16009.2 total,  10079.8 free,   2572.5 used,   3356.9 buff/cache
MiB Mem :  16009.2 total,  10094.8 free,   2557.3 used,   3357.1 buff/cache
MiB Mem :  16009.2 total,  10094.8 free,   2557.3 used,   3357.1 buff/cache
MiB Mem :  16009.2 total,  10094.8 free,   2557.3 used,   3357.1 buff/cache
MiB Mem :  16009.2 total,  10094.8 free,   2557.3 used,   3357.1 buff/cache
MiB Mem :  16009.2 total,  10094.8 free,   2557.3 used,   3357.1 buff/cache
MiB Mem :  16009.2 total,  10084.0 free,   2567.9 used,   3357.3 buff/cache
MiB Mem :  16009.2 total,  10084.0 free,   2567.9 used,   3357.3 buff/cache
MiB Mem :  16009.2 total,  10084.0 free,   2567.9 used,   3357.3 buff/cache
MiB Mem :  16009.2 total,  10084.0 free,   2567.9 used,   3357.3 buff/cache
MiB Mem :  16009.2 total,  10084.0 free,   2567.9 used,   3357.3 buff/cache
MiB Mem :  16009.2 total,  10084.0 free,   2567.9 used,   3357.3 buff/cache
MiB Mem :  16009.2 total,  10093.5 free,   2558.3 used,   3357.4 buff/cache
MiB Mem :  16009.2 total,  10093.5 free,   2558.3 used,   3357.4 buff/cache
MiB Mem :  16009.2 total,  10093.5 free,   2558.3 used,   3357.4 buff/cache
MiB Mem :  16009.2 total,  10093.5 free,   2558.3 used,   3357.4 buff/cache
MiB Mem :  16009.2 total,  10093.5 free,   2558.3 used,   3357.4 buff/cache
MiB Mem :  16009.2 total,  10093.5 free,   2558.3 used,   3357.4 buff/cache
MiB Mem :  16009.2 total,  10095.9 free,   2555.8 used,   3357.6 buff/cache
MiB Mem :  16009.2 total,  10095.9 free,   2555.8 used,   3357.6 buff/cache
MiB Mem :  16009.2 total,  10095.9 free,   2555.8 used,   3357.6 buff/cache
MiB Mem :  16009.2 total,  10095.9 free,   2555.8 used,   3357.6 buff/cache
MiB Mem :  16009.2 total,  10095.9 free,   2555.8 used,   3357.6 buff/cache
MiB Mem :  16009.2 total,  10095.9 free,   2555.8 used,   3357.6 buff/cache
MiB Mem :  16009.2 total,  10096.6 free,   2554.9 used,   3357.7 buff/cache
MiB Mem :  16009.2 total,  10096.6 free,   2554.9 used,   3357.7 buff/cache
MiB Mem :  16009.2 total,  10096.6 free,   2554.9 used,   3357.7 buff/cache
MiB Mem :  16009.2 total,  10096.6 free,   2554.9 used,   3357.7 buff/cache
MiB Mem :  16009.2 total,  10096.6 free,   2554.9 used,   3357.7 buff/cache
MiB Mem :  16009.2 total,  10096.6 free,   2554.9 used,   3357.7 buff/cache
MiB Mem :  16009.2 total,  10098.0 free,   2553.4 used,   3357.9 buff/cache
MiB Mem :  16009.2 total,  10098.0 free,   2553.4 used,   3357.9 buff/cache
MiB Mem :  16009.2 total,  10098.0 free,   2553.4 used,   3357.9 buff/cache
MiB Mem :  16009.2 total,  10098.0 free,   2553.4 used,   3357.9 buff/cache
MiB Mem :  16009.2 total,  10098.0 free,   2553.4 used,   3357.9 buff/cache
MiB Mem :  16009.2 total,  10098.0 free,   2553.4 used,   3357.9 buff/cache
MiB Mem :  16009.2 total,  10101.1 free,   2550.1 used,   3358.0 buff/cache
MiB Mem :  16009.2 total,  10101.1 free,   2550.1 used,   3358.0 buff/cache
MiB Mem :  16009.2 total,  10101.1 free,   2550.1 used,   3358.0 buff/cache
MiB Mem :  16009.2 total,  10101.1 free,   2550.1 used,   3358.0 buff/cache
MiB Mem :  16009.2 total,  10101.1 free,   2550.1 used,   3358.0 buff/cache
MiB Mem :  16009.2 total,  10104.2 free,   2546.9 used,   3358.2 buff/cache
