MiB Mem :  16009.2 total,  12220.6 free,    820.1 used,   2968.5 buff/cache
MiB Mem :  16009.2 total,  12220.6 free,    820.1 used,   2968.5 buff/cache
MiB Mem :  16009.2 total,  12220.6 free,    820.1 used,   2968.5 buff/cache
MiB Mem :  16009.2 total,  12220.6 free,    820.1 used,   2968.5 buff/cache
MiB Mem :  16009.2 total,  12220.6 free,    820.1 used,   2968.5 buff/cache
MiB Mem :  16009.2 total,  12219.5 free,    821.1 used,   2968.6 buff/cache
MiB Mem :  16009.2 total,  12219.5 free,    821.1 used,   2968.6 buff/cache
MiB Mem :  16009.2 total,  12219.5 free,    821.1 used,   2968.6 buff/cache
MiB Mem :  16009.2 total,  12219.5 free,    821.1 used,   2968.6 buff/cache
MiB Mem :  16009.2 total,  12219.5 free,    821.1 used,   2968.6 buff/cache
MiB Mem :  16009.2 total,  12219.5 free,    821.1 used,   2968.6 buff/cache
MiB Mem :  16009.2 total,  12219.2 free,    821.3 used,   2968.7 buff/cache
MiB Mem :  16009.2 total,  12219.2 free,    821.3 used,   2968.7 buff/cache
MiB Mem :  16009.2 total,  12219.2 free,    821.3 used,   2968.7 buff/cache
MiB Mem :  16009.2 total,  12219.2 free,    821.3 used,   2968.7 buff/cache
MiB Mem :  16009.2 total,  12219.2 free,    821.3 used,   2968.7 buff/cache
MiB Mem :  16009.2 total,  12219.2 free,    821.3 used,   2968.7 buff/cache
MiB Mem :  16009.2 total,  12218.8 free,    821.6 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12218.8 free,    821.6 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12218.8 free,    821.6 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12218.8 free,    821.6 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12218.8 free,    821.6 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12218.8 free,    821.6 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12219.4 free,    821.0 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12219.4 free,    821.0 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12219.4 free,    821.0 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12219.4 free,    821.0 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12219.4 free,    821.0 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12219.4 free,    821.0 used,   2968.8 buff/cache
MiB Mem :  16009.2 total,  12219.3 free,    821.1 used,   2968.9 buff/cache
MiB Mem :  16009.2 total,  12219.3 free,    821.1 used,   2968.9 buff/cache
MiB Mem :  16009.2 total,  12219.3 free,    821.1 used,   2968.9 buff/cache
MiB Mem :  16009.2 total,  12219.3 free,    821.1 used,   2968.9 buff/cache
MiB Mem :  16009.2 total,  12219.3 free,    821.1 used,   2968.9 buff/cache
MiB Mem :  16009.2 total,  12219.3 free,    821.1 used,   2968.9 buff/cache
MiB Mem :  16009.2 total,  12218.7 free,    821.6 used,   2969.0 buff/cache
MiB Mem :  16009.2 total,  12218.7 free,    821.6 used,   2969.0 buff/cache
MiB Mem :  16009.2 total,  12218.7 free,    821.6 used,   2969.0 buff/cache
MiB Mem :  16009.2 total,  12218.7 free,    821.6 used,   2969.0 buff/cache
MiB Mem :  16009.2 total,  12218.7 free,    821.6 used,   2969.0 buff/cache
MiB Mem :  16009.2 total,  12218.7 free,    821.6 used,   2969.0 buff/cache
MiB Mem :  16009.2 total,  12217.4 free,    822.8 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.4 free,    822.8 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.4 free,    822.8 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.4 free,    822.8 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.4 free,    822.8 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.4 free,    822.8 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.8 free,    822.3 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.8 free,    822.3 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.8 free,    822.3 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.8 free,    822.3 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.8 free,    822.3 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12217.8 free,    822.3 used,   2969.1 buff/cache
MiB Mem :  16009.2 total,  12218.1 free,    822.0 used,   2969.2 buff/cache
MiB Mem :  16009.2 total,  12218.1 free,    822.0 used,   2969.2 buff/cache
MiB Mem :  16009.2 total,  12218.1 free,    822.0 used,   2969.2 buff/cache
MiB Mem :  16009.2 total,  12218.1 free,    822.0 used,   2969.2 buff/cache
MiB Mem :  16009.2 total,  12218.1 free,    822.0 used,   2969.2 buff/cache
MiB Mem :  16009.2 total,  12218.1 free,    822.0 used,   2969.2 buff/cache
MiB Mem :  16009.2 total,  12218.2 free,    821.7 used,   2969.3 buff/cache
MiB Mem :  16009.2 total,  12218.2 free,    821.7 used,   2969.3 buff/cache
MiB Mem :  16009.2 total,  12218.2 free,    821.7 used,   2969.3 buff/cache
MiB Mem :  16009.2 total,  12218.2 free,    821.7 used,   2969.3 buff/cache
