MiB Mem :  16009.2 total,  11211.8 free,   1395.0 used,   3402.4 buff/cache
MiB Mem :  16009.2 total,  11211.8 free,   1395.0 used,   3402.4 buff/cache
MiB Mem :  16009.2 total,  11211.8 free,   1395.0 used,   3402.4 buff/cache
MiB Mem :  16009.2 total,  11211.8 free,   1395.0 used,   3402.4 buff/cache
MiB Mem :  16009.2 total,  11211.8 free,   1395.0 used,   3402.4 buff/cache
MiB Mem :  16009.2 total,  11211.8 free,   1395.0 used,   3402.4 buff/cache
MiB Mem :  16009.2 total,  11211.0 free,   1395.7 used,   3402.5 buff/cache
MiB Mem :  16009.2 total,  11211.0 free,   1395.7 used,   3402.5 buff/cache
MiB Mem :  16009.2 total,  11211.0 free,   1395.7 used,   3402.5 buff/cache
MiB Mem :  16009.2 total,  11211.0 free,   1395.7 used,   3402.5 buff/cache
MiB Mem :  16009.2 total,  11211.0 free,   1395.7 used,   3402.5 buff/cache
MiB Mem :  16009.2 total,  11211.0 free,   1395.7 used,   3402.5 buff/cache
MiB Mem :  16009.2 total,  11208.9 free,   1397.7 used,   3402.6 buff/cache
MiB Mem :  16009.2 total,  11208.9 free,   1397.7 used,   3402.6 buff/cache
MiB Mem :  16009.2 total,  11208.9 free,   1397.7 used,   3402.6 buff/cache
MiB Mem :  16009.2 total,  11208.9 free,   1397.7 used,   3402.6 buff/cache
MiB Mem :  16009.2 total,  11208.9 free,   1397.7 used,   3402.6 buff/cache
MiB Mem :  16009.2 total,  11206.7 free,   1399.8 used,   3402.7 buff/cache
MiB Mem :  16009.2 total,  11206.7 free,   1399.8 used,   3402.7 buff/cache
MiB Mem :  16009.2 total,  11206.7 free,   1399.8 used,   3402.7 buff/cache
MiB Mem :  16009.2 total,  11206.7 free,   1399.8 used,   3402.7 buff/cache
MiB Mem :  16009.2 total,  11206.7 free,   1399.8 used,   3402.7 buff/cache
MiB Mem :  16009.2 total,  11206.7 free,   1399.8 used,   3402.7 buff/cache
MiB Mem :  16009.2 total,  11207.9 free,   1398.5 used,   3402.8 buff/cache
MiB Mem :  16009.2 total,  11207.9 free,   1398.5 used,   3402.8 buff/cache
MiB Mem :  16009.2 total,  11207.9 free,   1398.5 used,   3402.8 buff/cache
MiB Mem :  16009.2 total,  11207.9 free,   1398.5 used,   3402.8 buff/cache
MiB Mem :  16009.2 total,  11207.9 free,   1398.5 used,   3402.8 buff/cache
MiB Mem :  16009.2 total,  11207.9 free,   1398.5 used,   3402.8 buff/cache
MiB Mem :  16009.2 total,  11205.0 free,   1401.3 used,   3403.0 buff/cache
MiB Mem :  16009.2 total,  11205.0 free,   1401.3 used,   3403.0 buff/cache
MiB Mem :  16009.2 total,  11205.0 free,   1401.3 used,   3403.0 buff/cache
MiB Mem :  16009.2 total,  11205.0 free,   1401.3 used,   3403.0 buff/cache
MiB Mem :  16009.2 total,  11205.0 free,   1401.3 used,   3403.0 buff/cache
MiB Mem :  16009.2 total,  11205.0 free,   1401.3 used,   3403.0 buff/cache
MiB Mem :  16009.2 total,  11204.4 free,   1401.8 used,   3403.1 buff/cache
MiB Mem :  16009.2 total,  11204.4 free,   1401.8 used,   3403.1 buff/cache
MiB Mem :  16009.2 total,  11204.4 free,   1401.8 used,   3403.1 buff/cache
MiB Mem :  16009.2 total,  11204.4 free,   1401.8 used,   3403.1 buff/cache
MiB Mem :  16009.2 total,  11204.4 free,   1401.8 used,   3403.1 buff/cache
MiB Mem :  16009.2 total,  11204.4 free,   1401.8 used,   3403.1 buff/cache
MiB Mem :  16009.2 total,  11203.9 free,   1402.2 used,   3403.2 buff/cache
MiB Mem :  16009.2 total,  11203.9 free,   1402.2 used,   3403.2 buff/cache
MiB Mem :  16009.2 total,  11203.9 free,   1402.2 used,   3403.2 buff/cache
MiB Mem :  16009.2 total,  11203.9 free,   1402.2 used,   3403.2 buff/cache
