MiB Mem :  16009.2 total,  12295.0 free,   1067.9 used,   2646.3 buff/cache
MiB Mem :  16009.2 total,  12295.0 free,   1067.9 used,   2646.3 buff/cache
MiB Mem :  16009.2 total,  12295.0 free,   1067.9 used,   2646.3 buff/cache
MiB Mem :  16009.2 total,  12295.0 free,   1067.9 used,   2646.3 buff/cache
MiB Mem :  16009.2 total,  12295.0 free,   1067.9 used,   2646.3 buff/cache
MiB Mem :  16009.2 total,  12289.7 free,   1073.0 used,   2646.4 buff/cache
MiB Mem :  16009.2 total,  12289.7 free,   1073.0 used,   2646.4 buff/cache
MiB Mem :  16009.2 total,  12289.7 free,   1073.0 used,   2646.4 buff/cache
MiB Mem :  16009.2 total,  12289.7 free,   1073.0 used,   2646.4 buff/cache
MiB Mem :  16009.2 total,  12289.7 free,   1073.0 used,   2646.4 buff/cache
MiB Mem :  16009.2 total,  12287.5 free,   1075.2 used,   2646.6 buff/cache
MiB Mem :  16009.2 total,  12287.5 free,   1075.2 used,   2646.6 buff/cache
MiB Mem :  16009.2 total,  12287.5 free,   1075.2 used,   2646.6 buff/cache
MiB Mem :  16009.2 total,  12287.5 free,   1075.2 used,   2646.6 buff/cache
MiB Mem :  16009.2 total,  12287.5 free,   1075.2 used,   2646.6 buff/cache
MiB Mem :  16009.2 total,  12287.5 free,   1075.2 used,   2646.6 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1076.1 used,   2646.7 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1076.1 used,   2646.7 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1076.1 used,   2646.7 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1076.1 used,   2646.7 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1076.1 used,   2646.7 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1076.1 used,   2646.7 buff/cache
MiB Mem :  16009.2 total,  12285.2 free,   1077.2 used,   2646.8 buff/cache
MiB Mem :  16009.2 total,  12285.2 free,   1077.2 used,   2646.8 buff/cache
MiB Mem :  16009.2 total,  12285.2 free,   1077.2 used,   2646.8 buff/cache
MiB Mem :  16009.2 total,  12285.2 free,   1077.2 used,   2646.8 buff/cache
MiB Mem :  16009.2 total,  12285.2 free,   1077.2 used,   2646.8 buff/cache
MiB Mem :  16009.2 total,  12285.2 free,   1077.2 used,   2646.8 buff/cache
MiB Mem :  16009.2 total,  12284.2 free,   1078.2 used,   2646.9 buff/cache
MiB Mem :  16009.2 total,  12284.2 free,   1078.2 used,   2646.9 buff/cache
MiB Mem :  16009.2 total,  12284.2 free,   1078.2 used,   2646.9 buff/cache
MiB Mem :  16009.2 total,  12284.2 free,   1078.2 used,   2646.9 buff/cache
MiB Mem :  16009.2 total,  12284.2 free,   1078.2 used,   2646.9 buff/cache
MiB Mem :  16009.2 total,  12284.2 free,   1078.2 used,   2646.9 buff/cache
MiB Mem :  16009.2 total,  12289.6 free,   1072.6 used,   2647.0 buff/cache
MiB Mem :  16009.2 total,  12289.6 free,   1072.6 used,   2647.0 buff/cache
MiB Mem :  16009.2 total,  12289.6 free,   1072.6 used,   2647.0 buff/cache
MiB Mem :  16009.2 total,  12289.6 free,   1072.6 used,   2647.0 buff/cache
MiB Mem :  16009.2 total,  12289.6 free,   1072.6 used,   2647.0 buff/cache
MiB Mem :  16009.2 total,  12289.6 free,   1072.6 used,   2647.0 buff/cache
MiB Mem :  16009.2 total,  12288.0 free,   1074.2 used,   2647.1 buff/cache
MiB Mem :  16009.2 total,  12288.0 free,   1074.2 used,   2647.1 buff/cache
MiB Mem :  16009.2 total,  12288.0 free,   1074.2 used,   2647.1 buff/cache
MiB Mem :  16009.2 total,  12288.0 free,   1074.2 used,   2647.1 buff/cache
MiB Mem :  16009.2 total,  12288.0 free,   1074.2 used,   2647.1 buff/cache
MiB Mem :  16009.2 total,  12288.0 free,   1074.2 used,   2647.1 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1075.5 used,   2647.2 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1075.5 used,   2647.2 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1075.5 used,   2647.2 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1075.5 used,   2647.2 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1075.5 used,   2647.2 buff/cache
MiB Mem :  16009.2 total,  12286.5 free,   1075.5 used,   2647.2 buff/cache
MiB Mem :  16009.2 total,  12285.6 free,   1076.3 used,   2647.3 buff/cache
MiB Mem :  16009.2 total,  12285.6 free,   1076.3 used,   2647.3 buff/cache
MiB Mem :  16009.2 total,  12285.6 free,   1076.3 used,   2647.3 buff/cache
MiB Mem :  16009.2 total,  12285.6 free,   1076.3 used,   2647.3 buff/cache
MiB Mem :  16009.2 total,  12285.6 free,   1076.3 used,   2647.3 buff/cache
MiB Mem :  16009.2 total,  12285.6 free,   1076.3 used,   2647.3 buff/cache
MiB Mem :  16009.2 total,  12285.0 free,   1076.8 used,   2647.5 buff/cache
MiB Mem :  16009.2 total,  12285.0 free,   1076.8 used,   2647.5 buff/cache
MiB Mem :  16009.2 total,  12285.0 free,   1076.8 used,   2647.5 buff/cache
MiB Mem :  16009.2 total,  12285.0 free,   1076.8 used,   2647.5 buff/cache
MiB Mem :  16009.2 total,  12285.0 free,   1076.8 used,   2647.5 buff/cache
