MiB Mem :  16009.2 total,  11772.8 free,   1540.7 used,   2695.7 buff/cache
MiB Mem :  16009.2 total,  11772.8 free,   1540.7 used,   2695.7 buff/cache
MiB Mem :  16009.2 total,  11772.8 free,   1540.7 used,   2695.7 buff/cache
MiB Mem :  16009.2 total,  11772.8 free,   1540.7 used,   2695.7 buff/cache
MiB Mem :  16009.2 total,  11772.8 free,   1540.7 used,   2695.7 buff/cache
MiB Mem :  16009.2 total,  11772.8 free,   1540.7 used,   2695.7 buff/cache
MiB Mem :  16009.2 total,  11769.0 free,   1544.2 used,   2696.0 buff/cache
MiB Mem :  16009.2 total,  11769.0 free,   1544.2 used,   2696.0 buff/cache
MiB Mem :  16009.2 total,  11769.0 free,   1544.2 used,   2696.0 buff/cache
MiB Mem :  16009.2 total,  11769.0 free,   1544.2 used,   2696.0 buff/cache
MiB Mem :  16009.2 total,  11769.0 free,   1544.2 used,   2696.0 buff/cache
MiB Mem :  16009.2 total,  11769.0 free,   1544.2 used,   2696.0 buff/cache
MiB Mem :  16009.2 total,  11768.5 free,   1544.5 used,   2696.2 buff/cache
MiB Mem :  16009.2 total,  11768.5 free,   1544.5 used,   2696.2 buff/cache
MiB Mem :  16009.2 total,  11768.5 free,   1544.5 used,   2696.2 buff/cache
MiB Mem :  16009.2 total,  11768.5 free,   1544.5 used,   2696.2 buff/cache
MiB Mem :  16009.2 total,  11768.5 free,   1544.5 used,   2696.2 buff/cache
MiB Mem :  16009.2 total,  11768.5 free,   1544.5 used,   2696.2 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1544.0 used,   2696.3 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1544.0 used,   2696.3 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1544.0 used,   2696.3 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1544.0 used,   2696.3 buff/cache
MiB Mem :  16009.2 total,  11768.9 free,   1544.0 used,   2696.3 buff/cache
MiB Mem :  16009.2 total,  11767.7 free,   1545.0 used,   2696.5 buff/cache
MiB Mem :  16009.2 total,  11767.7 free,   1545.0 used,   2696.5 buff/cache
MiB Mem :  16009.2 total,  11767.7 free,   1545.0 used,   2696.5 buff/cache
MiB Mem :  16009.2 total,  11767.7 free,   1545.0 used,   2696.5 buff/cache
MiB Mem :  16009.2 total,  11767.7 free,   1545.0 used,   2696.5 buff/cache
MiB Mem :  16009.2 total,  11767.7 free,   1545.0 used,   2696.5 buff/cache
MiB Mem :  16009.2 total,  11766.5 free,   1546.1 used,   2696.6 buff/cache
MiB Mem :  16009.2 total,  11766.5 free,   1546.1 used,   2696.6 buff/cache
MiB Mem :  16009.2 total,  11766.5 free,   1546.1 used,   2696.6 buff/cache
MiB Mem :  16009.2 total,  11766.5 free,   1546.1 used,   2696.6 buff/cache
MiB Mem :  16009.2 total,  11766.5 free,   1546.1 used,   2696.6 buff/cache
MiB Mem :  16009.2 total,  11766.5 free,   1546.1 used,   2696.6 buff/cache
MiB Mem :  16009.2 total,  11763.5 free,   1549.0 used,   2696.7 buff/cache
MiB Mem :  16009.2 total,  11763.5 free,   1549.0 used,   2696.7 buff/cache
MiB Mem :  16009.2 total,  11763.5 free,   1549.0 used,   2696.7 buff/cache
MiB Mem :  16009.2 total,  11763.5 free,   1549.0 used,   2696.7 buff/cache
MiB Mem :  16009.2 total,  11763.5 free,   1549.0 used,   2696.7 buff/cache
MiB Mem :  16009.2 total,  11763.5 free,   1549.0 used,   2696.7 buff/cache
MiB Mem :  16009.2 total,  11760.2 free,   1552.2 used,   2696.9 buff/cache
MiB Mem :  16009.2 total,  11760.2 free,   1552.2 used,   2696.9 buff/cache
MiB Mem :  16009.2 total,  11760.2 free,   1552.2 used,   2696.9 buff/cache
MiB Mem :  16009.2 total,  11760.2 free,   1552.2 used,   2696.9 buff/cache
MiB Mem :  16009.2 total,  11760.2 free,   1552.2 used,   2696.9 buff/cache
MiB Mem :  16009.2 total,  11760.2 free,   1552.2 used,   2696.9 buff/cache
MiB Mem :  16009.2 total,  11758.3 free,   1553.9 used,   2697.0 buff/cache
MiB Mem :  16009.2 total,  11758.3 free,   1553.9 used,   2697.0 buff/cache
MiB Mem :  16009.2 total,  11758.3 free,   1553.9 used,   2697.0 buff/cache
MiB Mem :  16009.2 total,  11758.3 free,   1553.9 used,   2697.0 buff/cache
MiB Mem :  16009.2 total,  11758.3 free,   1553.9 used,   2697.0 buff/cache
MiB Mem :  16009.2 total,  11758.3 free,   1553.9 used,   2697.0 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.3 used,   2697.2 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.3 used,   2697.2 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.3 used,   2697.2 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.3 used,   2697.2 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.3 used,   2697.2 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.3 used,   2697.2 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.1 used,   2697.3 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.1 used,   2697.3 buff/cache
MiB Mem :  16009.2 total,  11759.8 free,   1552.1 used,   2697.3 buff/cache
