MiB Mem :  16009.2 total,  12231.3 free,    810.7 used,   2967.2 buff/cache
MiB Mem :  16009.2 total,  12231.3 free,    810.7 used,   2967.2 buff/cache
MiB Mem :  16009.2 total,  12231.3 free,    810.7 used,   2967.2 buff/cache
MiB Mem :  16009.2 total,  12231.3 free,    810.7 used,   2967.2 buff/cache
MiB Mem :  16009.2 total,  12231.3 free,    810.7 used,   2967.2 buff/cache
MiB Mem :  16009.2 total,  12231.3 free,    810.7 used,   2967.2 buff/cache
MiB Mem :  16009.2 total,  12230.3 free,    811.6 used,   2967.3 buff/cache
MiB Mem :  16009.2 total,  12230.3 free,    811.6 used,   2967.3 buff/cache
MiB Mem :  16009.2 total,  12230.3 free,    811.6 used,   2967.3 buff/cache
MiB Mem :  16009.2 total,  12230.3 free,    811.6 used,   2967.3 buff/cache
MiB Mem :  16009.2 total,  12230.3 free,    811.6 used,   2967.3 buff/cache
MiB Mem :  16009.2 total,  12230.3 free,    811.6 used,   2967.3 buff/cache
MiB Mem :  16009.2 total,  12229.6 free,    812.3 used,   2967.4 buff/cache
MiB Mem :  16009.2 total,  12229.6 free,    812.3 used,   2967.4 buff/cache
MiB Mem :  16009.2 total,  12229.6 free,    812.3 used,   2967.4 buff/cache
MiB Mem :  16009.2 total,  12229.6 free,    812.3 used,   2967.4 buff/cache
MiB Mem :  16009.2 total,  12229.6 free,    812.3 used,   2967.4 buff/cache
MiB Mem :  16009.2 total,  12229.6 free,    812.3 used,   2967.4 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.8 used,   2967.5 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.8 used,   2967.5 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.8 used,   2967.5 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.8 used,   2967.5 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.8 used,   2967.5 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.8 used,   2967.5 buff/cache
MiB Mem :  16009.2 total,  12227.8 free,    813.9 used,   2967.6 buff/cache
MiB Mem :  16009.2 total,  12227.8 free,    813.9 used,   2967.6 buff/cache
MiB Mem :  16009.2 total,  12227.8 free,    813.9 used,   2967.6 buff/cache
MiB Mem :  16009.2 total,  12227.8 free,    813.9 used,   2967.6 buff/cache
MiB Mem :  16009.2 total,  12227.8 free,    813.9 used,   2967.6 buff/cache
MiB Mem :  16009.2 total,  12227.8 free,    813.9 used,   2967.6 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    814.0 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    814.0 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    814.0 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    814.0 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    814.0 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    814.0 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12228.9 free,    812.6 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12228.9 free,    812.6 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12228.9 free,    812.6 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12228.9 free,    812.6 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12228.9 free,    812.6 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12228.9 free,    812.6 used,   2967.7 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    813.8 used,   2967.8 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    813.8 used,   2967.8 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    813.8 used,   2967.8 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    813.8 used,   2967.8 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    813.8 used,   2967.8 buff/cache
MiB Mem :  16009.2 total,  12227.6 free,    813.8 used,   2967.8 buff/cache
MiB Mem :  16009.2 total,  12226.3 free,    814.9 used,   2967.9 buff/cache
MiB Mem :  16009.2 total,  12226.3 free,    814.9 used,   2967.9 buff/cache
MiB Mem :  16009.2 total,  12226.3 free,    814.9 used,   2967.9 buff/cache
MiB Mem :  16009.2 total,  12226.3 free,    814.9 used,   2967.9 buff/cache
MiB Mem :  16009.2 total,  12226.3 free,    814.9 used,   2967.9 buff/cache
MiB Mem :  16009.2 total,  12226.3 free,    814.9 used,   2967.9 buff/cache
MiB Mem :  16009.2 total,  12227.4 free,    813.8 used,   2968.0 buff/cache
MiB Mem :  16009.2 total,  12227.4 free,    813.8 used,   2968.0 buff/cache
MiB Mem :  16009.2 total,  12227.4 free,    813.8 used,   2968.0 buff/cache
MiB Mem :  16009.2 total,  12227.4 free,    813.8 used,   2968.0 buff/cache
MiB Mem :  16009.2 total,  12227.4 free,    813.8 used,   2968.0 buff/cache
MiB Mem :  16009.2 total,  12227.4 free,    813.8 used,   2968.0 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.2 used,   2968.1 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.2 used,   2968.1 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.2 used,   2968.1 buff/cache
MiB Mem :  16009.2 total,  12228.0 free,    813.2 used,   2968.1 buff/cache
