MiB Mem :  16009.2 total,  12617.9 free,    788.7 used,   2602.6 buff/cache
MiB Mem :  16009.2 total,  12617.9 free,    788.7 used,   2602.6 buff/cache
MiB Mem :  16009.2 total,  12617.9 free,    788.7 used,   2602.6 buff/cache
MiB Mem :  16009.2 total,  12617.9 free,    788.7 used,   2602.6 buff/cache
MiB Mem :  16009.2 total,  12617.9 free,    788.7 used,   2602.6 buff/cache
MiB Mem :  16009.2 total,  12615.8 free,    790.8 used,   2602.7 buff/cache
MiB Mem :  16009.2 total,  12615.8 free,    790.8 used,   2602.7 buff/cache
MiB Mem :  16009.2 total,  12615.8 free,    790.8 used,   2602.7 buff/cache
MiB Mem :  16009.2 total,  12615.8 free,    790.8 used,   2602.7 buff/cache
MiB Mem :  16009.2 total,  12615.8 free,    790.8 used,   2602.7 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    791.0 used,   2602.8 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    791.0 used,   2602.8 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    791.0 used,   2602.8 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    791.0 used,   2602.8 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    791.0 used,   2602.8 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    791.0 used,   2602.8 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    790.9 used,   2602.9 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    790.9 used,   2602.9 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    790.9 used,   2602.9 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    790.9 used,   2602.9 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    790.9 used,   2602.9 buff/cache
MiB Mem :  16009.2 total,  12615.4 free,    790.9 used,   2602.9 buff/cache
MiB Mem :  16009.2 total,  12614.7 free,    791.5 used,   2603.0 buff/cache
MiB Mem :  16009.2 total,  12614.7 free,    791.5 used,   2603.0 buff/cache
MiB Mem :  16009.2 total,  12614.7 free,    791.5 used,   2603.0 buff/cache
MiB Mem :  16009.2 total,  12614.7 free,    791.5 used,   2603.0 buff/cache
MiB Mem :  16009.2 total,  12614.7 free,    791.5 used,   2603.0 buff/cache
MiB Mem :  16009.2 total,  12614.7 free,    791.5 used,   2603.0 buff/cache
MiB Mem :  16009.2 total,  12613.9 free,    792.2 used,   2603.1 buff/cache
MiB Mem :  16009.2 total,  12613.9 free,    792.2 used,   2603.1 buff/cache
MiB Mem :  16009.2 total,  12613.9 free,    792.2 used,   2603.1 buff/cache
MiB Mem :  16009.2 total,  12613.9 free,    792.2 used,   2603.1 buff/cache
MiB Mem :  16009.2 total,  12613.9 free,    792.2 used,   2603.1 buff/cache
MiB Mem :  16009.2 total,  12613.9 free,    792.2 used,   2603.1 buff/cache
MiB Mem :  16009.2 total,  12613.5 free,    792.5 used,   2603.2 buff/cache
MiB Mem :  16009.2 total,  12613.5 free,    792.5 used,   2603.2 buff/cache
MiB Mem :  16009.2 total,  12613.5 free,    792.5 used,   2603.2 buff/cache
MiB Mem :  16009.2 total,  12613.5 free,    792.5 used,   2603.2 buff/cache
MiB Mem :  16009.2 total,  12613.5 free,    792.5 used,   2603.2 buff/cache
MiB Mem :  16009.2 total,  12613.5 free,    792.5 used,   2603.2 buff/cache
MiB Mem :  16009.2 total,  12612.9 free,    793.0 used,   2603.3 buff/cache
MiB Mem :  16009.2 total,  12612.9 free,    793.0 used,   2603.3 buff/cache
MiB Mem :  16009.2 total,  12612.9 free,    793.0 used,   2603.3 buff/cache
MiB Mem :  16009.2 total,  12612.9 free,    793.0 used,   2603.3 buff/cache
MiB Mem :  16009.2 total,  12612.9 free,    793.0 used,   2603.3 buff/cache
MiB Mem :  16009.2 total,  12612.9 free,    793.0 used,   2603.3 buff/cache
MiB Mem :  16009.2 total,  12611.4 free,    794.5 used,   2603.4 buff/cache
MiB Mem :  16009.2 total,  12611.4 free,    794.5 used,   2603.4 buff/cache
MiB Mem :  16009.2 total,  12611.4 free,    794.5 used,   2603.4 buff/cache
MiB Mem :  16009.2 total,  12611.4 free,    794.5 used,   2603.4 buff/cache
MiB Mem :  16009.2 total,  12611.4 free,    794.5 used,   2603.4 buff/cache
MiB Mem :  16009.2 total,  12611.4 free,    794.5 used,   2603.4 buff/cache
MiB Mem :  16009.2 total,  12613.4 free,    792.4 used,   2603.5 buff/cache
MiB Mem :  16009.2 total,  12613.4 free,    792.4 used,   2603.5 buff/cache
MiB Mem :  16009.2 total,  12613.4 free,    792.4 used,   2603.5 buff/cache
MiB Mem :  16009.2 total,  12613.4 free,    792.4 used,   2603.5 buff/cache
MiB Mem :  16009.2 total,  12613.4 free,    792.4 used,   2603.5 buff/cache
MiB Mem :  16009.2 total,  12613.4 free,    792.4 used,   2603.5 buff/cache
MiB Mem :  16009.2 total,  12612.4 free,    793.3 used,   2603.6 buff/cache
MiB Mem :  16009.2 total,  12612.4 free,    793.3 used,   2603.6 buff/cache
MiB Mem :  16009.2 total,  12612.4 free,    793.3 used,   2603.6 buff/cache
MiB Mem :  16009.2 total,  12612.4 free,    793.3 used,   2603.6 buff/cache
