MiB Mem :  16009.2 total,  12561.6 free,    829.0 used,   2618.6 buff/cache
MiB Mem :  16009.2 total,  12561.6 free,    829.0 used,   2618.6 buff/cache
MiB Mem :  16009.2 total,  12561.6 free,    829.0 used,   2618.6 buff/cache
MiB Mem :  16009.2 total,  12561.6 free,    829.0 used,   2618.6 buff/cache
MiB Mem :  16009.2 total,  12561.6 free,    829.0 used,   2618.6 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.8 used,   2618.7 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.8 used,   2618.7 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.8 used,   2618.7 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.8 used,   2618.7 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.8 used,   2618.7 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.8 used,   2618.7 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    828.4 used,   2618.8 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    828.4 used,   2618.8 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    828.4 used,   2618.8 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    828.4 used,   2618.8 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    828.4 used,   2618.8 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    828.4 used,   2618.8 buff/cache
MiB Mem :  16009.2 total,  12563.0 free,    827.3 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.0 free,    827.3 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.0 free,    827.3 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.0 free,    827.3 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.0 free,    827.3 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.0 free,    827.3 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.2 free,    827.1 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.2 free,    827.1 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.2 free,    827.1 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.2 free,    827.1 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.2 free,    827.1 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.2 free,    827.1 used,   2618.9 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.6 used,   2619.0 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.6 used,   2619.0 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.6 used,   2619.0 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.6 used,   2619.0 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.6 used,   2619.0 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.6 used,   2619.0 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.5 used,   2619.1 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.5 used,   2619.1 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.5 used,   2619.1 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.5 used,   2619.1 buff/cache
MiB Mem :  16009.2 total,  12563.6 free,    826.5 used,   2619.1 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.2 used,   2619.2 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.2 used,   2619.2 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.2 used,   2619.2 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.2 used,   2619.2 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.2 used,   2619.2 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.2 used,   2619.2 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    827.9 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    827.9 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    827.9 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    827.9 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    827.9 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.0 free,    827.9 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.1 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.1 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.1 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.1 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.1 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.8 free,    827.1 used,   2619.3 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.1 used,   2619.4 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.1 used,   2619.4 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.1 used,   2619.4 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.1 used,   2619.4 buff/cache
MiB Mem :  16009.2 total,  12562.7 free,    827.1 used,   2619.4 buff/cache
