MiB Mem :  16009.2 total,  12593.9 free,    807.0 used,   2608.3 buff/cache
MiB Mem :  16009.2 total,  12593.9 free,    807.0 used,   2608.3 buff/cache
MiB Mem :  16009.2 total,  12593.9 free,    807.0 used,   2608.3 buff/cache
MiB Mem :  16009.2 total,  12593.9 free,    807.0 used,   2608.3 buff/cache
MiB Mem :  16009.2 total,  12593.9 free,    807.0 used,   2608.3 buff/cache
MiB Mem :  16009.2 total,  12593.1 free,    807.8 used,   2608.4 buff/cache
MiB Mem :  16009.2 total,  12593.1 free,    807.8 used,   2608.4 buff/cache
MiB Mem :  16009.2 total,  12593.1 free,    807.8 used,   2608.4 buff/cache
MiB Mem :  16009.2 total,  12593.1 free,    807.8 used,   2608.4 buff/cache
MiB Mem :  16009.2 total,  12593.1 free,    807.8 used,   2608.4 buff/cache
MiB Mem :  16009.2 total,  12593.1 free,    807.8 used,   2608.4 buff/cache
MiB Mem :  16009.2 total,  12591.3 free,    809.5 used,   2608.5 buff/cache
MiB Mem :  16009.2 total,  12591.3 free,    809.5 used,   2608.5 buff/cache
MiB Mem :  16009.2 total,  12591.3 free,    809.5 used,   2608.5 buff/cache
MiB Mem :  16009.2 total,  12591.3 free,    809.5 used,   2608.5 buff/cache
MiB Mem :  16009.2 total,  12591.3 free,    809.5 used,   2608.5 buff/cache
MiB Mem :  16009.2 total,  12591.3 free,    809.5 used,   2608.5 buff/cache
MiB Mem :  16009.2 total,  12589.0 free,    811.7 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12589.0 free,    811.7 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12589.0 free,    811.7 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12589.0 free,    811.7 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12589.0 free,    811.7 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12589.0 free,    811.7 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12592.0 free,    808.6 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12592.0 free,    808.6 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12592.0 free,    808.6 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12592.0 free,    808.6 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12592.0 free,    808.6 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12592.0 free,    808.6 used,   2608.6 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.9 used,   2608.7 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.9 used,   2608.7 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.9 used,   2608.7 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.9 used,   2608.7 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.9 used,   2608.7 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.9 used,   2608.7 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.8 used,   2608.8 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.8 used,   2608.8 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.8 used,   2608.8 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.8 used,   2608.8 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.8 used,   2608.8 buff/cache
MiB Mem :  16009.2 total,  12591.6 free,    808.8 used,   2608.8 buff/cache
MiB Mem :  16009.2 total,  12590.7 free,    809.6 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.7 free,    809.6 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.7 free,    809.6 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.7 free,    809.6 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.7 free,    809.6 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.7 free,    809.6 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.5 free,    809.8 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.5 free,    809.8 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.5 free,    809.8 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.5 free,    809.8 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.5 free,    809.8 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12590.5 free,    809.8 used,   2608.9 buff/cache
MiB Mem :  16009.2 total,  12592.5 free,    807.7 used,   2609.0 buff/cache
MiB Mem :  16009.2 total,  12592.5 free,    807.7 used,   2609.0 buff/cache
MiB Mem :  16009.2 total,  12592.5 free,    807.7 used,   2609.0 buff/cache
MiB Mem :  16009.2 total,  12592.5 free,    807.7 used,   2609.0 buff/cache
MiB Mem :  16009.2 total,  12592.5 free,    807.7 used,   2609.0 buff/cache
MiB Mem :  16009.2 total,  12593.0 free,    807.1 used,   2609.1 buff/cache
MiB Mem :  16009.2 total,  12593.0 free,    807.1 used,   2609.1 buff/cache
MiB Mem :  16009.2 total,  12593.0 free,    807.1 used,   2609.1 buff/cache
MiB Mem :  16009.2 total,  12593.0 free,    807.1 used,   2609.1 buff/cache
