MiB Mem :  16009.2 total,  11038.8 free,   1551.8 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11038.8 free,   1551.8 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11038.8 free,   1551.8 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11038.8 free,   1551.8 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11038.8 free,   1551.8 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11036.5 free,   1554.0 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11036.5 free,   1554.0 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11036.5 free,   1554.0 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11036.5 free,   1554.0 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11036.5 free,   1554.0 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11036.5 free,   1554.0 used,   3418.7 buff/cache
MiB Mem :  16009.2 total,  11036.3 free,   1554.0 used,   3418.9 buff/cache
MiB Mem :  16009.2 total,  11036.3 free,   1554.0 used,   3418.9 buff/cache
MiB Mem :  16009.2 total,  11036.3 free,   1554.0 used,   3418.9 buff/cache
MiB Mem :  16009.2 total,  11036.3 free,   1554.0 used,   3418.9 buff/cache
MiB Mem :  16009.2 total,  11036.3 free,   1554.0 used,   3418.9 buff/cache
MiB Mem :  16009.2 total,  11034.0 free,   1556.3 used,   3419.0 buff/cache
MiB Mem :  16009.2 total,  11034.0 free,   1556.3 used,   3419.0 buff/cache
MiB Mem :  16009.2 total,  11034.0 free,   1556.3 used,   3419.0 buff/cache
MiB Mem :  16009.2 total,  11034.0 free,   1556.3 used,   3419.0 buff/cache
MiB Mem :  16009.2 total,  11034.0 free,   1556.3 used,   3419.0 buff/cache
MiB Mem :  16009.2 total,  11034.0 free,   1556.3 used,   3419.0 buff/cache
MiB Mem :  16009.2 total,  11032.8 free,   1557.3 used,   3419.1 buff/cache
MiB Mem :  16009.2 total,  11032.8 free,   1557.3 used,   3419.1 buff/cache
MiB Mem :  16009.2 total,  11032.8 free,   1557.3 used,   3419.1 buff/cache
MiB Mem :  16009.2 total,  11032.8 free,   1557.3 used,   3419.1 buff/cache
MiB Mem :  16009.2 total,  11032.8 free,   1557.3 used,   3419.1 buff/cache
MiB Mem :  16009.2 total,  11032.8 free,   1557.3 used,   3419.1 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.9 used,   3419.2 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.9 used,   3419.2 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.9 used,   3419.2 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.9 used,   3419.2 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.9 used,   3419.2 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.9 used,   3419.2 buff/cache
MiB Mem :  16009.2 total,  11028.4 free,   1561.5 used,   3419.4 buff/cache
MiB Mem :  16009.2 total,  11028.4 free,   1561.5 used,   3419.4 buff/cache
MiB Mem :  16009.2 total,  11028.4 free,   1561.5 used,   3419.4 buff/cache
MiB Mem :  16009.2 total,  11028.4 free,   1561.5 used,   3419.4 buff/cache
MiB Mem :  16009.2 total,  11028.4 free,   1561.5 used,   3419.4 buff/cache
MiB Mem :  16009.2 total,  11028.4 free,   1561.5 used,   3419.4 buff/cache
MiB Mem :  16009.2 total,  11027.9 free,   1561.8 used,   3419.5 buff/cache
MiB Mem :  16009.2 total,  11027.9 free,   1561.8 used,   3419.5 buff/cache
MiB Mem :  16009.2 total,  11027.9 free,   1561.8 used,   3419.5 buff/cache
MiB Mem :  16009.2 total,  11027.9 free,   1561.8 used,   3419.5 buff/cache
MiB Mem :  16009.2 total,  11027.9 free,   1561.8 used,   3419.5 buff/cache
MiB Mem :  16009.2 total,  11027.9 free,   1561.8 used,   3419.5 buff/cache
MiB Mem :  16009.2 total,  11029.8 free,   1559.7 used,   3419.6 buff/cache
MiB Mem :  16009.2 total,  11029.8 free,   1559.7 used,   3419.6 buff/cache
MiB Mem :  16009.2 total,  11029.8 free,   1559.7 used,   3419.6 buff/cache
MiB Mem :  16009.2 total,  11029.8 free,   1559.7 used,   3419.6 buff/cache
MiB Mem :  16009.2 total,  11029.8 free,   1559.7 used,   3419.6 buff/cache
MiB Mem :  16009.2 total,  11029.8 free,   1559.7 used,   3419.6 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.3 used,   3419.8 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.3 used,   3419.8 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.3 used,   3419.8 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.3 used,   3419.8 buff/cache
MiB Mem :  16009.2 total,  11029.1 free,   1560.3 used,   3419.8 buff/cache
MiB Mem :  16009.2 total,  11028.9 free,   1560.3 used,   3419.9 buff/cache
MiB Mem :  16009.2 total,  11028.9 free,   1560.3 used,   3419.9 buff/cache
MiB Mem :  16009.2 total,  11028.9 free,   1560.3 used,   3419.9 buff/cache
MiB Mem :  16009.2 total,  11028.9 free,   1560.3 used,   3419.9 buff/cache
MiB Mem :  16009.2 total,  11028.9 free,   1560.3 used,   3419.9 buff/cache
MiB Mem :  16009.2 total,  11028.9 free,   1560.3 used,   3419.9 buff/cache
MiB Mem :  16009.2 total,  11028.6 free,   1560.6 used,   3420.0 buff/cache
