MiB Mem :  16009.2 total,  12234.3 free,    808.7 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12234.3 free,    808.7 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12234.3 free,    808.7 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12234.3 free,    808.7 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12234.3 free,    808.7 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12233.2 free,    809.8 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12233.2 free,    809.8 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12233.2 free,    809.8 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12233.2 free,    809.8 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12233.2 free,    809.8 used,   2966.2 buff/cache
MiB Mem :  16009.2 total,  12231.5 free,    811.4 used,   2966.3 buff/cache
MiB Mem :  16009.2 total,  12231.5 free,    811.4 used,   2966.3 buff/cache
MiB Mem :  16009.2 total,  12231.5 free,    811.4 used,   2966.3 buff/cache
MiB Mem :  16009.2 total,  12231.5 free,    811.4 used,   2966.3 buff/cache
MiB Mem :  16009.2 total,  12231.5 free,    811.4 used,   2966.3 buff/cache
MiB Mem :  16009.2 total,  12231.5 free,    811.4 used,   2966.3 buff/cache
MiB Mem :  16009.2 total,  12231.2 free,    811.6 used,   2966.4 buff/cache
MiB Mem :  16009.2 total,  12231.2 free,    811.6 used,   2966.4 buff/cache
MiB Mem :  16009.2 total,  12231.2 free,    811.6 used,   2966.4 buff/cache
MiB Mem :  16009.2 total,  12231.2 free,    811.6 used,   2966.4 buff/cache
MiB Mem :  16009.2 total,  12231.2 free,    811.6 used,   2966.4 buff/cache
MiB Mem :  16009.2 total,  12231.2 free,    811.6 used,   2966.4 buff/cache
MiB Mem :  16009.2 total,  12232.4 free,    810.3 used,   2966.5 buff/cache
MiB Mem :  16009.2 total,  12232.4 free,    810.3 used,   2966.5 buff/cache
MiB Mem :  16009.2 total,  12232.4 free,    810.3 used,   2966.5 buff/cache
MiB Mem :  16009.2 total,  12232.4 free,    810.3 used,   2966.5 buff/cache
MiB Mem :  16009.2 total,  12232.4 free,    810.3 used,   2966.5 buff/cache
MiB Mem :  16009.2 total,  12232.4 free,    810.3 used,   2966.5 buff/cache
MiB Mem :  16009.2 total,  12231.9 free,    810.7 used,   2966.6 buff/cache
MiB Mem :  16009.2 total,  12231.9 free,    810.7 used,   2966.6 buff/cache
MiB Mem :  16009.2 total,  12231.9 free,    810.7 used,   2966.6 buff/cache
MiB Mem :  16009.2 total,  12231.9 free,    810.7 used,   2966.6 buff/cache
MiB Mem :  16009.2 total,  12231.9 free,    810.7 used,   2966.6 buff/cache
MiB Mem :  16009.2 total,  12231.9 free,    810.7 used,   2966.6 buff/cache
MiB Mem :  16009.2 total,  12230.7 free,    811.8 used,   2966.7 buff/cache
MiB Mem :  16009.2 total,  12230.7 free,    811.8 used,   2966.7 buff/cache
MiB Mem :  16009.2 total,  12230.7 free,    811.8 used,   2966.7 buff/cache
MiB Mem :  16009.2 total,  12230.7 free,    811.8 used,   2966.7 buff/cache
MiB Mem :  16009.2 total,  12230.7 free,    811.8 used,   2966.7 buff/cache
MiB Mem :  16009.2 total,  12230.7 free,    811.8 used,   2966.7 buff/cache
MiB Mem :  16009.2 total,  12229.8 free,    812.6 used,   2966.8 buff/cache
MiB Mem :  16009.2 total,  12229.8 free,    812.6 used,   2966.8 buff/cache
MiB Mem :  16009.2 total,  12229.8 free,    812.6 used,   2966.8 buff/cache
MiB Mem :  16009.2 total,  12229.8 free,    812.6 used,   2966.8 buff/cache
MiB Mem :  16009.2 total,  12229.8 free,    812.6 used,   2966.8 buff/cache
MiB Mem :  16009.2 total,  12229.8 free,    812.6 used,   2966.8 buff/cache
MiB Mem :  16009.2 total,  12227.2 free,    815.1 used,   2966.9 buff/cache
MiB Mem :  16009.2 total,  12227.2 free,    815.1 used,   2966.9 buff/cache
MiB Mem :  16009.2 total,  12227.2 free,    815.1 used,   2966.9 buff/cache
MiB Mem :  16009.2 total,  12227.2 free,    815.1 used,   2966.9 buff/cache
MiB Mem :  16009.2 total,  12227.2 free,    815.1 used,   2966.9 buff/cache
MiB Mem :  16009.2 total,  12227.2 free,    815.1 used,   2966.9 buff/cache
MiB Mem :  16009.2 total,  12227.9 free,    814.4 used,   2967.0 buff/cache
MiB Mem :  16009.2 total,  12227.9 free,    814.4 used,   2967.0 buff/cache
MiB Mem :  16009.2 total,  12227.9 free,    814.4 used,   2967.0 buff/cache
MiB Mem :  16009.2 total,  12227.9 free,    814.4 used,   2967.0 buff/cache
MiB Mem :  16009.2 total,  12227.9 free,    814.4 used,   2967.0 buff/cache
MiB Mem :  16009.2 total,  12227.9 free,    814.4 used,   2967.0 buff/cache
MiB Mem :  16009.2 total,  12228.7 free,    813.5 used,   2967.1 buff/cache
MiB Mem :  16009.2 total,  12228.7 free,    813.5 used,   2967.1 buff/cache
MiB Mem :  16009.2 total,  12228.7 free,    813.5 used,   2967.1 buff/cache
MiB Mem :  16009.2 total,  12228.7 free,    813.5 used,   2967.1 buff/cache
MiB Mem :  16009.2 total,  12228.7 free,    813.5 used,   2967.1 buff/cache
