MiB Mem :  16009.2 total,  11678.1 free,   1625.2 used,   2706.0 buff/cache
MiB Mem :  16009.2 total,  11678.1 free,   1625.2 used,   2706.0 buff/cache
MiB Mem :  16009.2 total,  11678.1 free,   1625.2 used,   2706.0 buff/cache
MiB Mem :  16009.2 total,  11678.1 free,   1625.2 used,   2706.0 buff/cache
MiB Mem :  16009.2 total,  11678.1 free,   1625.2 used,   2706.0 buff/cache
MiB Mem :  16009.2 total,  11678.5 free,   1624.7 used,   2706.1 buff/cache
MiB Mem :  16009.2 total,  11678.5 free,   1624.7 used,   2706.1 buff/cache
MiB Mem :  16009.2 total,  11678.5 free,   1624.7 used,   2706.1 buff/cache
MiB Mem :  16009.2 total,  11678.5 free,   1624.7 used,   2706.1 buff/cache
MiB Mem :  16009.2 total,  11678.5 free,   1624.7 used,   2706.1 buff/cache
MiB Mem :  16009.2 total,  11677.6 free,   1625.4 used,   2706.2 buff/cache
MiB Mem :  16009.2 total,  11677.6 free,   1625.4 used,   2706.2 buff/cache
MiB Mem :  16009.2 total,  11677.6 free,   1625.4 used,   2706.2 buff/cache
MiB Mem :  16009.2 total,  11677.6 free,   1625.4 used,   2706.2 buff/cache
MiB Mem :  16009.2 total,  11677.6 free,   1625.4 used,   2706.2 buff/cache
MiB Mem :  16009.2 total,  11677.6 free,   1625.4 used,   2706.2 buff/cache
MiB Mem :  16009.2 total,  11677.3 free,   1625.5 used,   2706.4 buff/cache
MiB Mem :  16009.2 total,  11677.3 free,   1625.5 used,   2706.4 buff/cache
MiB Mem :  16009.2 total,  11677.3 free,   1625.5 used,   2706.4 buff/cache
MiB Mem :  16009.2 total,  11677.3 free,   1625.5 used,   2706.4 buff/cache
MiB Mem :  16009.2 total,  11677.3 free,   1625.5 used,   2706.4 buff/cache
MiB Mem :  16009.2 total,  11677.3 free,   1625.5 used,   2706.4 buff/cache
MiB Mem :  16009.2 total,  11679.1 free,   1623.6 used,   2706.5 buff/cache
MiB Mem :  16009.2 total,  11679.1 free,   1623.6 used,   2706.5 buff/cache
MiB Mem :  16009.2 total,  11679.1 free,   1623.6 used,   2706.5 buff/cache
MiB Mem :  16009.2 total,  11679.1 free,   1623.6 used,   2706.5 buff/cache
MiB Mem :  16009.2 total,  11679.1 free,   1623.6 used,   2706.5 buff/cache
MiB Mem :  16009.2 total,  11679.1 free,   1623.6 used,   2706.5 buff/cache
MiB Mem :  16009.2 total,  11675.7 free,   1626.9 used,   2706.7 buff/cache
MiB Mem :  16009.2 total,  11675.7 free,   1626.9 used,   2706.7 buff/cache
MiB Mem :  16009.2 total,  11675.7 free,   1626.9 used,   2706.7 buff/cache
MiB Mem :  16009.2 total,  11675.7 free,   1626.9 used,   2706.7 buff/cache
MiB Mem :  16009.2 total,  11675.7 free,   1626.9 used,   2706.7 buff/cache
MiB Mem :  16009.2 total,  11675.7 free,   1626.9 used,   2706.7 buff/cache
MiB Mem :  16009.2 total,  11671.5 free,   1630.9 used,   2706.8 buff/cache
MiB Mem :  16009.2 total,  11671.5 free,   1630.9 used,   2706.8 buff/cache
MiB Mem :  16009.2 total,  11671.5 free,   1630.9 used,   2706.8 buff/cache
MiB Mem :  16009.2 total,  11671.5 free,   1630.9 used,   2706.8 buff/cache
MiB Mem :  16009.2 total,  11671.5 free,   1630.9 used,   2706.8 buff/cache
MiB Mem :  16009.2 total,  11670.7 free,   1631.6 used,   2707.0 buff/cache
MiB Mem :  16009.2 total,  11670.7 free,   1631.6 used,   2707.0 buff/cache
MiB Mem :  16009.2 total,  11670.7 free,   1631.6 used,   2707.0 buff/cache
MiB Mem :  16009.2 total,  11670.7 free,   1631.6 used,   2707.0 buff/cache
MiB Mem :  16009.2 total,  11670.7 free,   1631.6 used,   2707.0 buff/cache
MiB Mem :  16009.2 total,  11670.7 free,   1631.6 used,   2707.0 buff/cache
MiB Mem :  16009.2 total,  11670.6 free,   1631.6 used,   2707.1 buff/cache
MiB Mem :  16009.2 total,  11670.6 free,   1631.6 used,   2707.1 buff/cache
MiB Mem :  16009.2 total,  11670.6 free,   1631.6 used,   2707.1 buff/cache
MiB Mem :  16009.2 total,  11670.6 free,   1631.6 used,   2707.1 buff/cache
MiB Mem :  16009.2 total,  11670.6 free,   1631.6 used,   2707.1 buff/cache
MiB Mem :  16009.2 total,  11670.6 free,   1631.6 used,   2707.1 buff/cache
MiB Mem :  16009.2 total,  11670.1 free,   1631.9 used,   2707.3 buff/cache
MiB Mem :  16009.2 total,  11670.1 free,   1631.9 used,   2707.3 buff/cache
MiB Mem :  16009.2 total,  11670.1 free,   1631.9 used,   2707.3 buff/cache
MiB Mem :  16009.2 total,  11670.1 free,   1631.9 used,   2707.3 buff/cache
MiB Mem :  16009.2 total,  11670.1 free,   1631.9 used,   2707.3 buff/cache
MiB Mem :  16009.2 total,  11670.1 free,   1631.9 used,   2707.3 buff/cache
MiB Mem :  16009.2 total,  11672.2 free,   1629.6 used,   2707.4 buff/cache
MiB Mem :  16009.2 total,  11672.2 free,   1629.6 used,   2707.4 buff/cache
MiB Mem :  16009.2 total,  11672.2 free,   1629.6 used,   2707.4 buff/cache
MiB Mem :  16009.2 total,  11672.2 free,   1629.6 used,   2707.4 buff/cache
MiB Mem :  16009.2 total,  11672.2 free,   1629.6 used,   2707.4 buff/cache
