MiB Mem :  16009.2 total,  11870.9 free,   1452.5 used,   2685.8 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.5 used,   2685.8 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.5 used,   2685.8 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.5 used,   2685.8 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.5 used,   2685.8 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.5 used,   2685.8 buff/cache
MiB Mem :  16009.2 total,  11867.8 free,   1455.4 used,   2686.0 buff/cache
MiB Mem :  16009.2 total,  11867.8 free,   1455.4 used,   2686.0 buff/cache
MiB Mem :  16009.2 total,  11867.8 free,   1455.4 used,   2686.0 buff/cache
MiB Mem :  16009.2 total,  11867.8 free,   1455.4 used,   2686.0 buff/cache
MiB Mem :  16009.2 total,  11867.8 free,   1455.4 used,   2686.0 buff/cache
MiB Mem :  16009.2 total,  11867.8 free,   1455.4 used,   2686.0 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.2 used,   2686.2 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.2 used,   2686.2 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.2 used,   2686.2 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.2 used,   2686.2 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.2 used,   2686.2 buff/cache
MiB Mem :  16009.2 total,  11870.9 free,   1452.2 used,   2686.2 buff/cache
MiB Mem :  16009.2 total,  11863.3 free,   1459.6 used,   2686.3 buff/cache
MiB Mem :  16009.2 total,  11863.3 free,   1459.6 used,   2686.3 buff/cache
MiB Mem :  16009.2 total,  11863.3 free,   1459.6 used,   2686.3 buff/cache
MiB Mem :  16009.2 total,  11863.3 free,   1459.6 used,   2686.3 buff/cache
MiB Mem :  16009.2 total,  11863.3 free,   1459.6 used,   2686.3 buff/cache
MiB Mem :  16009.2 total,  11863.3 free,   1459.6 used,   2686.3 buff/cache
MiB Mem :  16009.2 total,  11865.0 free,   1457.8 used,   2686.4 buff/cache
MiB Mem :  16009.2 total,  11865.0 free,   1457.8 used,   2686.4 buff/cache
MiB Mem :  16009.2 total,  11865.0 free,   1457.8 used,   2686.4 buff/cache
MiB Mem :  16009.2 total,  11865.0 free,   1457.8 used,   2686.4 buff/cache
MiB Mem :  16009.2 total,  11865.0 free,   1457.8 used,   2686.4 buff/cache
MiB Mem :  16009.2 total,  11864.8 free,   1457.9 used,   2686.5 buff/cache
MiB Mem :  16009.2 total,  11864.8 free,   1457.9 used,   2686.5 buff/cache
MiB Mem :  16009.2 total,  11864.8 free,   1457.9 used,   2686.5 buff/cache
MiB Mem :  16009.2 total,  11864.8 free,   1457.9 used,   2686.5 buff/cache
MiB Mem :  16009.2 total,  11864.8 free,   1457.9 used,   2686.5 buff/cache
MiB Mem :  16009.2 total,  11864.8 free,   1457.9 used,   2686.5 buff/cache
MiB Mem :  16009.2 total,  11858.8 free,   1463.7 used,   2686.7 buff/cache
MiB Mem :  16009.2 total,  11858.8 free,   1463.7 used,   2686.7 buff/cache
MiB Mem :  16009.2 total,  11858.8 free,   1463.7 used,   2686.7 buff/cache
MiB Mem :  16009.2 total,  11858.8 free,   1463.7 used,   2686.7 buff/cache
MiB Mem :  16009.2 total,  11858.8 free,   1463.7 used,   2686.7 buff/cache
MiB Mem :  16009.2 total,  11858.8 free,   1463.7 used,   2686.7 buff/cache
MiB Mem :  16009.2 total,  11854.3 free,   1468.1 used,   2686.8 buff/cache
MiB Mem :  16009.2 total,  11854.3 free,   1468.1 used,   2686.8 buff/cache
MiB Mem :  16009.2 total,  11854.3 free,   1468.1 used,   2686.8 buff/cache
MiB Mem :  16009.2 total,  11854.3 free,   1468.1 used,   2686.8 buff/cache
MiB Mem :  16009.2 total,  11854.3 free,   1468.1 used,   2686.8 buff/cache
MiB Mem :  16009.2 total,  11854.3 free,   1468.1 used,   2686.8 buff/cache
MiB Mem :  16009.2 total,  11855.0 free,   1467.2 used,   2687.0 buff/cache
MiB Mem :  16009.2 total,  11855.0 free,   1467.2 used,   2687.0 buff/cache
MiB Mem :  16009.2 total,  11855.0 free,   1467.2 used,   2687.0 buff/cache
MiB Mem :  16009.2 total,  11855.0 free,   1467.2 used,   2687.0 buff/cache
MiB Mem :  16009.2 total,  11855.0 free,   1467.2 used,   2687.0 buff/cache
MiB Mem :  16009.2 total,  11855.0 free,   1467.2 used,   2687.0 buff/cache
MiB Mem :  16009.2 total,  11856.2 free,   1465.9 used,   2687.1 buff/cache
MiB Mem :  16009.2 total,  11856.2 free,   1465.9 used,   2687.1 buff/cache
MiB Mem :  16009.2 total,  11856.2 free,   1465.9 used,   2687.1 buff/cache
MiB Mem :  16009.2 total,  11856.2 free,   1465.9 used,   2687.1 buff/cache
MiB Mem :  16009.2 total,  11856.2 free,   1465.9 used,   2687.1 buff/cache
MiB Mem :  16009.2 total,  11856.2 free,   1465.9 used,   2687.1 buff/cache
MiB Mem :  16009.2 total,  11856.0 free,   1466.0 used,   2687.2 buff/cache
MiB Mem :  16009.2 total,  11856.0 free,   1466.0 used,   2687.2 buff/cache
MiB Mem :  16009.2 total,  11856.0 free,   1466.0 used,   2687.2 buff/cache
MiB Mem :  16009.2 total,  11856.0 free,   1466.0 used,   2687.2 buff/cache
MiB Mem :  16009.2 total,  11856.0 free,   1466.0 used,   2687.2 buff/cache
