MiB Mem :  16009.2 total,  11367.8 free,   1904.6 used,   2736.9 buff/cache
MiB Mem :  16009.2 total,  11367.8 free,   1904.6 used,   2736.9 buff/cache
MiB Mem :  16009.2 total,  11367.8 free,   1904.6 used,   2736.9 buff/cache
MiB Mem :  16009.2 total,  11367.8 free,   1904.6 used,   2736.9 buff/cache
MiB Mem :  16009.2 total,  11367.7 free,   1904.5 used,   2737.0 buff/cache
MiB Mem :  16009.2 total,  11367.7 free,   1904.5 used,   2737.0 buff/cache
MiB Mem :  16009.2 total,  11367.7 free,   1904.5 used,   2737.0 buff/cache
MiB Mem :  16009.2 total,  11367.7 free,   1904.5 used,   2737.0 buff/cache
MiB Mem :  16009.2 total,  11367.7 free,   1904.5 used,   2737.0 buff/cache
MiB Mem :  16009.2 total,  11367.7 free,   1904.5 used,   2737.0 buff/cache
MiB Mem :  16009.2 total,  11366.1 free,   1906.0 used,   2737.2 buff/cache
MiB Mem :  16009.2 total,  11366.1 free,   1906.0 used,   2737.2 buff/cache
MiB Mem :  16009.2 total,  11366.1 free,   1906.0 used,   2737.2 buff/cache
MiB Mem :  16009.2 total,  11366.1 free,   1906.0 used,   2737.2 buff/cache
MiB Mem :  16009.2 total,  11366.1 free,   1906.0 used,   2737.2 buff/cache
MiB Mem :  16009.2 total,  11366.1 free,   1906.0 used,   2737.2 buff/cache
MiB Mem :  16009.2 total,  11364.4 free,   1907.4 used,   2737.4 buff/cache
MiB Mem :  16009.2 total,  11364.4 free,   1907.4 used,   2737.4 buff/cache
MiB Mem :  16009.2 total,  11364.4 free,   1907.4 used,   2737.4 buff/cache
MiB Mem :  16009.2 total,  11364.4 free,   1907.4 used,   2737.4 buff/cache
MiB Mem :  16009.2 total,  11364.4 free,   1907.4 used,   2737.4 buff/cache
MiB Mem :  16009.2 total,  11364.4 free,   1907.4 used,   2737.4 buff/cache
MiB Mem :  16009.2 total,  11362.0 free,   1909.7 used,   2737.5 buff/cache
MiB Mem :  16009.2 total,  11362.0 free,   1909.7 used,   2737.5 buff/cache
MiB Mem :  16009.2 total,  11362.0 free,   1909.7 used,   2737.5 buff/cache
MiB Mem :  16009.2 total,  11362.0 free,   1909.7 used,   2737.5 buff/cache
MiB Mem :  16009.2 total,  11362.0 free,   1909.7 used,   2737.5 buff/cache
MiB Mem :  16009.2 total,  11360.5 free,   1911.1 used,   2737.7 buff/cache
MiB Mem :  16009.2 total,  11360.5 free,   1911.1 used,   2737.7 buff/cache
MiB Mem :  16009.2 total,  11360.5 free,   1911.1 used,   2737.7 buff/cache
MiB Mem :  16009.2 total,  11360.5 free,   1911.1 used,   2737.7 buff/cache
MiB Mem :  16009.2 total,  11360.5 free,   1911.1 used,   2737.7 buff/cache
MiB Mem :  16009.2 total,  11360.5 free,   1911.1 used,   2737.7 buff/cache
MiB Mem :  16009.2 total,  11358.4 free,   1913.0 used,   2737.8 buff/cache
MiB Mem :  16009.2 total,  11358.4 free,   1913.0 used,   2737.8 buff/cache
MiB Mem :  16009.2 total,  11358.4 free,   1913.0 used,   2737.8 buff/cache
MiB Mem :  16009.2 total,  11358.4 free,   1913.0 used,   2737.8 buff/cache
MiB Mem :  16009.2 total,  11358.4 free,   1913.0 used,   2737.8 buff/cache
MiB Mem :  16009.2 total,  11358.4 free,   1913.0 used,   2737.8 buff/cache
MiB Mem :  16009.2 total,  11356.3 free,   1914.9 used,   2738.0 buff/cache
MiB Mem :  16009.2 total,  11356.3 free,   1914.9 used,   2738.0 buff/cache
MiB Mem :  16009.2 total,  11356.3 free,   1914.9 used,   2738.0 buff/cache
MiB Mem :  16009.2 total,  11356.3 free,   1914.9 used,   2738.0 buff/cache
MiB Mem :  16009.2 total,  11356.3 free,   1914.9 used,   2738.0 buff/cache
MiB Mem :  16009.2 total,  11356.3 free,   1914.9 used,   2738.0 buff/cache
MiB Mem :  16009.2 total,  11354.3 free,   1916.8 used,   2738.2 buff/cache
MiB Mem :  16009.2 total,  11354.3 free,   1916.8 used,   2738.2 buff/cache
MiB Mem :  16009.2 total,  11354.3 free,   1916.8 used,   2738.2 buff/cache
MiB Mem :  16009.2 total,  11354.3 free,   1916.8 used,   2738.2 buff/cache
MiB Mem :  16009.2 total,  11354.3 free,   1916.8 used,   2738.2 buff/cache
MiB Mem :  16009.2 total,  11354.3 free,   1916.8 used,   2738.2 buff/cache
MiB Mem :  16009.2 total,  11365.3 free,   1905.6 used,   2738.3 buff/cache
MiB Mem :  16009.2 total,  11365.3 free,   1905.6 used,   2738.3 buff/cache
MiB Mem :  16009.2 total,  11365.3 free,   1905.6 used,   2738.3 buff/cache
MiB Mem :  16009.2 total,  11365.3 free,   1905.6 used,   2738.3 buff/cache
MiB Mem :  16009.2 total,  11365.3 free,   1905.6 used,   2738.3 buff/cache
MiB Mem :  16009.2 total,  11365.3 free,   1905.6 used,   2738.3 buff/cache
MiB Mem :  16009.2 total,  11365.8 free,   1904.9 used,   2738.5 buff/cache
MiB Mem :  16009.2 total,  11365.8 free,   1904.9 used,   2738.5 buff/cache
MiB Mem :  16009.2 total,  11365.8 free,   1904.9 used,   2738.5 buff/cache
MiB Mem :  16009.2 total,  11365.8 free,   1904.9 used,   2738.5 buff/cache
