top - 07:57:06 up 1 day, 10:43,  0 users,  load average: 2.96, 1.68, 2.66
Tasks: 309 total,   3 running, 306 sleeping,   0 stopped,   0 zombie
%Cpu(s): 70.3 us, 16.2 sy,  0.0 ni,  1.4 id,  0.0 wa,  0.0 hi, 12.2 si,  0.0 st
MiB Mem :  16009.2 total,  10126.2 free,   2523.1 used,   3359.9 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  13343.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 671850 1337      20   0  172504  52804  33828 S  17.6   0.3   0:23.92 envoy
 413463 root      20   0  853308 128816  55740 S  11.8   0.8  20:46.50 cilium-+
 667484 1337      20   0  173528  53716  33680 S  11.8   0.3   1:38.63 envoy
 668520 1337      20   0  172508  53096  33860 S  11.8   0.3   0:50.27 envoy
 668636 1337      20   0  172508  53124  33900 S  11.8   0.3   0:50.21 envoy
 668731 1337      20   0  172508  53496  34008 S  11.8   0.3   0:50.00 envoy
 670207 1337      20   0  172504  52804  33836 S  11.8   0.3   0:32.98 envoy
 670300 1337      20   0  172508  52800  33832 S  11.8   0.3   0:32.55 envoy
 670390 1337      20   0  172504  52660  33680 S  11.8   0.3   0:33.18 envoy
 671523 1337      20   0  172508  52976  34012 S  11.8   0.3   0:23.71 envoy
 671761 1337      20   0  172504  52884  33920 S  11.8   0.3   0:23.64 envoy
 671937 1337      20   0  172504  52596  33892 S  11.8   0.3   0:24.00 envoy
 673196 1337      20   0  171484  52424  33712 S  11.8   0.3   0:17.69 envoy
 673468 1337      20   0  171484  52588  33888 S  11.8   0.3   0:17.53 envoy
 673648 1337      20   0  172504  52420  33700 S  11.8   0.3   0:17.54 envoy
 675164 1337      20   0  171480  52416  33984 S  11.8   0.3   0:12.96 envoy
 675254 1337      20   0  172508  52400  33680 S  11.8   0.3   0:12.87 envoy
 676338 1337      20   0  171484  52248  33808 S  11.8   0.3   0:09.35 envoy
 676429 1337      20   0  171484  52656  33956 S  11.8   0.3   0:09.32 envoy
 676519 1337      20   0  171480  52292  33844 S  11.8   0.3   0:09.47 envoy
