MiB Mem :  16009.2 total,  12599.6 free,    804.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12600.5 free,    803.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12600.5 free,    803.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12600.5 free,    803.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12600.5 free,    803.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12600.5 free,    803.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12600.5 free,    803.9 used,   2604.8 buff/cache
MiB Mem :  16009.2 total,  12600.4 free,    803.9 used,   2604.9 buff/cache
MiB Mem :  16009.2 total,  12600.4 free,    803.9 used,   2604.9 buff/cache
MiB Mem :  16009.2 total,  12600.4 free,    803.9 used,   2604.9 buff/cache
MiB Mem :  16009.2 total,  12600.4 free,    803.9 used,   2604.9 buff/cache
MiB Mem :  16009.2 total,  12600.4 free,    803.9 used,   2604.9 buff/cache
MiB Mem :  16009.2 total,  12600.4 free,    803.9 used,   2604.9 buff/cache
MiB Mem :  16009.2 total,  12599.8 free,    804.3 used,   2605.1 buff/cache
MiB Mem :  16009.2 total,  12599.8 free,    804.3 used,   2605.1 buff/cache
MiB Mem :  16009.2 total,  12599.8 free,    804.3 used,   2605.1 buff/cache
MiB Mem :  16009.2 total,  12599.8 free,    804.3 used,   2605.1 buff/cache
MiB Mem :  16009.2 total,  12599.8 free,    804.3 used,   2605.1 buff/cache
MiB Mem :  16009.2 total,  12599.8 free,    804.3 used,   2605.1 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.2 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.2 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.2 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.2 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.2 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.2 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.1 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.1 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.1 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.1 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.9 free,    804.1 used,   2605.2 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.3 used,   2605.3 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.3 used,   2605.3 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.3 used,   2605.3 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.3 used,   2605.3 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.3 used,   2605.3 buff/cache
MiB Mem :  16009.2 total,  12599.6 free,    804.3 used,   2605.3 buff/cache
MiB Mem :  16009.2 total,  12599.1 free,    804.8 used,   2605.4 buff/cache
MiB Mem :  16009.2 total,  12599.1 free,    804.8 used,   2605.4 buff/cache
MiB Mem :  16009.2 total,  12599.1 free,    804.8 used,   2605.4 buff/cache
MiB Mem :  16009.2 total,  12599.1 free,    804.8 used,   2605.4 buff/cache
MiB Mem :  16009.2 total,  12599.1 free,    804.8 used,   2605.4 buff/cache
MiB Mem :  16009.2 total,  12599.1 free,    804.8 used,   2605.4 buff/cache
MiB Mem :  16009.2 total,  12599.2 free,    804.5 used,   2605.5 buff/cache
MiB Mem :  16009.2 total,  12599.2 free,    804.5 used,   2605.5 buff/cache
MiB Mem :  16009.2 total,  12599.2 free,    804.5 used,   2605.5 buff/cache
MiB Mem :  16009.2 total,  12599.2 free,    804.5 used,   2605.5 buff/cache
MiB Mem :  16009.2 total,  12599.2 free,    804.5 used,   2605.5 buff/cache
MiB Mem :  16009.2 total,  12599.2 free,    804.5 used,   2605.5 buff/cache
MiB Mem :  16009.2 total,  12598.5 free,    805.1 used,   2605.6 buff/cache
MiB Mem :  16009.2 total,  12598.5 free,    805.1 used,   2605.6 buff/cache
MiB Mem :  16009.2 total,  12598.5 free,    805.1 used,   2605.6 buff/cache
MiB Mem :  16009.2 total,  12598.5 free,    805.1 used,   2605.6 buff/cache
MiB Mem :  16009.2 total,  12598.5 free,    805.1 used,   2605.6 buff/cache
MiB Mem :  16009.2 total,  12598.5 free,    805.1 used,   2605.6 buff/cache
MiB Mem :  16009.2 total,  12594.6 free,    808.9 used,   2605.7 buff/cache
MiB Mem :  16009.2 total,  12594.6 free,    808.9 used,   2605.7 buff/cache
MiB Mem :  16009.2 total,  12594.6 free,    808.9 used,   2605.7 buff/cache
MiB Mem :  16009.2 total,  12594.6 free,    808.9 used,   2605.7 buff/cache
MiB Mem :  16009.2 total,  12594.6 free,    808.9 used,   2605.7 buff/cache
MiB Mem :  16009.2 total,  12594.6 free,    808.9 used,   2605.7 buff/cache
